;;"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I04";"I07";"I07";"I07";"I07";"I07";"I07";"I08";"I08";"I08";"I08";"I08";"I08";"I09";"I09";"I09";"I09";"I09";"I09";"I11";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I12";"I14";"I14";"I14";"I14";"I14";"I14";"I17";"I17";"I17";"I17";"I17";"I17";"I19";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I32";"I36";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I40"
"Time";"Time";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2"
"UTC";"Local";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
"
2021-01-01 00:00:00;2021-01-01 01:00:00;51,4379;5,3582;27,78;33,11;37,81;24;;;;;;;;;;;;;;;;;;;;;;;;;51,4422;5,4844;24,14;27,60;31,84;22;51,4454;5,4854;24,14;28,97;33,14;14;51,4416;5,4714;22,46;26,25;30,40;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,4447;5,4788;24,22;29,10;33,60;19;51,4546;5,3888;25,68;29,25;32,96;24;;;;;;;51,4439;5,4754;24,92;28,62;33,04;;;;;;;;51,4797;5,4751;25,91;29,15;32,65;13;51,4388;5,4821;29,17;34,66;39,91;18;51,4685;5,4721;28,34;34,01;38,66;;;;;;;51,4528;5,4851;29,36;35,38;39,41;27
2021-01-02 00:00:00;2021-01-02 01:00:00;51,4379;5,3582;31,84;45,09;51,59;19;;;;;;;;;;;;;;;;;;;;;;;;;51,4422;5,4844;31,16;37,62;41,62;16;51,4454;5,4854;29,36;38,29;42,80;6;51,4416;5,4714;28,72;35,81;40,06;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,4447;5,4788;29,43;39,18;44,54;13;51,4546;5,3887;33,89;43,72;48,51;21;;;;;;;51,4354;5,4801;34,24;41,51;46,24;;;;;;;;51,4797;5,4751;36,24;41,93;44,93;12;51,4386;5,4820;36,72;47,62;53,34;10;51,4686;5,4722;35,88;46,57;51,43;;;;;;;51,4528;5,4851;36,32;46,27;51,24;16
2021-01-03 00:00:00;2021-01-03 01:00:00;51,4379;5,3582;23,72;34,22;38,46;13;;;;;;;;;;;;;;;;;;;;;;;;;51,4422;5,4844;22,78;28,23;30,81;9;51,4454;5,4854;21,37;28,95;32,17;3;51,4416;5,4714;20,92;27,19;30,35;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,4447;5,4787;21,17;29,34;32,70;9;51,4546;5,3887;25,72;32,65;35,28;14;;;;;;;51,4353;5,4800;23,93;30,14;33,50;;;;;;;;51,4797;5,4751;25,86;30,82;32,98;5;51,4384;5,4819;26,82;36,06;40,16;7;51,4687;5,4724;25,81;34,52;38,17;;;;;;;51,4528;5,4851;26,28;34,63;37,99;11
2021-01-04 00:00:00;2021-01-04 01:00:00;51,4379;5,3582;5,35;5,97;7,94;9;;;;;;;;;;;;;;;;;;;;;;;;;51,4422;5,4844;4,05;4,33;6,29;6;51,4454;5,4854;5,37;5,78;7,66;4;51,4416;5,4714;3,68;4,08;6,13;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,4447;5,4787;4,72;5,15;7,05;6;51,4546;5,3887;4,36;4,79;6,79;11;;;;;;;51,4350;5,4798;3,36;3,89;6,21;;;;;;;;51,4797;5,4751;3,62;4,03;6,04;5;51,4386;5,4814;5,29;5,83;7,82;8;51,4686;5,4723;5,24;5,70;7,66;;;;;;;51,4528;5,4851;6,31;6,78;8,65;9
2021-01-05 00:00:00;2021-01-05 01:00:00;51,4379;5,3581;21,11;23,40;24,02;10;;;;;;;;;;;;;;;;;;;;;;;;;51,4422;5,4844;16,20;16,95;17,88;7;51,4454;5,4854;18,30;19,60;20,18;3;51,4416;5,4714;14,58;15,53;16,67;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,4447;5,4787;17,46;18,89;19,75;6;51,4546;5,3887;16,97;18,08;19,05;12;;;;;;;51,4352;5,4798;14,84;15,84;17,41;7;;;;;;;51,4797;5,4751;15,44;16,22;17,32;5;51,4386;5,4820;19,30;20,97;21,89;8;51,4684;5,4723;19,90;21,54;22,19;51,4390;5,4650;20,59;21,65;22,51;;51,4528;5,4851;21,35;22,82;23,25;10
2021-01-06 00:00:00;2021-01-06 01:00:00;51,4379;5,3582;17,20;19,00;22,28;19;;;;;;;;;;;;;;;;;;;;;;;;;51,4422;5,4844;12,99;14,09;17,10;18;51,4454;5,4854;14,90;16,20;19,26;14;51,4416;5,4714;11,93;13,13;16,38;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,4447;5,4787;14,81;16,28;19,63;16;51,4546;5,3887;12,99;14,38;17,44;21;;;;;;;51,4351;5,4798;11,31;12,65;16,34;18;;;;;;;51,4797;5,4751;11,77;12,85;15,84;14;51,4386;5,4815;15,69;17,29;20,84;21;51,4684;5,4723;16,63;18,19;21,44;;;;;;;51,4528;5,4851;18,42;19,89;23,29;23
2021-01-07 00:00:00;2021-01-07 01:00:00;51,4379;5,3582;5,82;6,87;10,19;16;;;;;;;51,4915;5,4392;3,26;4,61;9,01;6;;;;;;;;;;;;;51,4422;5,4844;6,43;7,49;10,51;20;51,4454;5,4854;7,31;8,32;11,31;20;51,4416;5,4714;5,32;6,31;9,29;21;;;;;;;;;;;;;51,4332;5,5197;3,82;4,82;8,93;18;;;;;;;;;;;;;51,4447;5,4787;7,27;8,36;11,62;18;51,4546;5,3887;4,91;5,94;8,83;13;;;;;;;51,4351;5,4798;5,03;6,09;9,82;24;51,4374;5,4515;5,39;6,34;10,76;5;51,4797;5,4751;4,78;5,71;8,64;17;51,4386;5,4819;7,76;8,93;12,15;28;51,4684;5,4723;7,65;8,75;11,78;51,4390;5,4650;4,18;5,15;7,66;4;51,4527;5,4851;10,33;11,63;14,77;28
2021-01-08 00:00:00;2021-01-08 01:00:00;51,4379;5,3582;3,68;4,16;6,64;11;;;;;;;51,4915;5,4392;4,80;5,38;8,08;23;;;;;;;;;;;;;51,4422;5,4844;5,18;5,73;8,04;16;51,4454;5,4854;6,61;7,22;9,50;11;51,4416;5,4714;4,59;5,18;7,65;12;;;;;;;;;;;;;51,4332;5,5196;5,51;6,19;8,85;13;;;;;;;;;;;;;51,4447;5,4787;6,91;7,77;10,33;15;51,4546;5,3887;3,33;3,80;6,18;14;;;;;;;51,4351;5,4798;4,78;5,54;8,89;19;51,4374;5,4515;6,15;6,81;9,64;24;51,4797;5,4751;6,94;7,62;9,81;11;51,4386;5,4817;6,40;7,09;9,69;19;51,4684;5,4723;8,99;10,06;12,35;51,4390;5,4650;6,96;7,72;10,09;15;51,4528;5,4851;8,29;9,03;11,41;17
