;;"I02";"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I04";"I05";"I05";"I05";"I05";"I05";"I05";"I07";"I07";"I07";"I07";"I07";"I07";"I08";"I08";"I08";"I08";"I08";"I08";"I09";"I09";"I09";"I09";"I09";"I09";"I10";"I10";"I10";"I10";"I10";"I10";"I11";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I12";"I13";"I13";"I13";"I13";"I13";"I13";"I14";"I14";"I14";"I14";"I14";"I14";"I14";"I16";"I16";"I16";"I16";"I16";"I16";"I17";"I17";"I17";"I17";"I17";"I17";"I18";"I18";"I18";"I18";"I18";"I18";"I19";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I32";"I33";"I33";"I33";"I33";"I33";"I33";"I36";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I40";"I41";"I41";"I41";"I41";"I41";"I41";"I42";"I42";"I42";"I42";"I42";"I42";"I43";"I43";"I43";"I43";"I43";"I43";"I44";"I44";"I44";"I44";"I44";"I44";"I45";"I45";"I45";"I45";"I45";"I45";"I46";"I46";"I46";"I46";"I46";"I46";"I47";"I47";"I47";"I47";"I47";"I47";"I48";"I48";"I48";"I48";"I48";"I48";"I49";"I49";"I49";"I49";"I49";"I49";"I50";"I50";"I50";"I50";"I50";"I50";"I51";"I51";"I51";"I51";"I51";"I51";"I52";"I52";"I52";"I52";"I52";"I52";"I55";"I55";"I55";"I55";"I55";"I55";"I56";"I56";"I56";"I56";"I56";"I56";"I58";"I58";"I58";"I58";"I58";"I58"
"Time";"Time";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2"
"UTC";"Local";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
"
2022-02-25 00:00:00;2022-02-25 01:00:00;51,4379;5,3582;7,36;11,75;19,47;11394;18;51,5107;5,3606;7,25;10,80;18,31;25;51,4915;5,4392;6,18;9,84;17,32;27;51,4025;5,3515;11,08;15,16;24,13;16;51,4566;5,4381;6,02;8,89;16,39;24;51,4471;5,4455;7,42;10,69;15,59;61;51,4422;5,4844;8,49;12,67;19,03;26;51,3707;5,1565;9,55;13,34;21,40;29;51,4455;5,4855;8,62;12,07;20,18;34;51,4415;5,4714;5,83;9,86;15,89;22;51,4815;5,5199;7,69;11,70;17,04;15;51,4681;5,3902;6,65;10,07;15,74;8483;25;51,3468;5,3887;9,40;13,29;22,09;27;51,4137;5,4707;6,21;9,42;14,42;18;51,5696;5,3113;7,67;11,00;18,94;20;51,4332;5,5198;6,88;10,59;19,56;44;51,4371;5,4233;6,33;9,61;17,26;54;51,4585;5,4050;8,50;12,86;20,32;22;51,4446;5,4788;8,03;11,76;17,61;71;51,4545;5,3888;8,20;12,34;18,02;15750;21;51,4492;5,4569;9,20;13,38;19,27;22;51,4351;5,4799;9,33;13,80;22,47;39;51,4373;5,4513;6,40;9,99;15,21;30;51,4796;5,4751;7,45;10,51;15,13;26;51,5295;5,4719;9,15;13,04;20,51;43;51,4385;5,4815;11,02;15,48;21,88;37;51,4685;5,4720;9,08;13,48;20,21;19;51,4390;5,4650;9,30;13,47;18,55;43;51,4528;5,4850;9,32;13,01;18,47;43;51,4320;5,6272;10,75;15,20;24,92;24;51,5923;5,7813;9,41;14,07;27,26;11;51,5304;5,2846;8,99;13,65;25,50;14;51,3565;5,6358;7,72;11,04;20,60;22;51,5836;5,5481;6,52;10,79;17,47;19;51,5092;5,3781;7,44;11,45;16,64;46;51,4768;5,2616;8,46;13,33;19,33;21;51,4660;5,6785;8,68;13,23;20,76;70;51,4735;5,6530;10,58;14,84;20,51;28;51,3769;5,7724;6,82;10,40;15,83;25;51,4692;5,6348;6,73;10,23;15,20;32;51,4776;5,6568;7,67;11,95;17,60;69;51,3072;5,4218;6,86;10,88;17,79;16;51,4165;5,1266;7,59;11,62;18,06;32;51,4904;5,3941;8,19;11,83;17,55;31
2022-02-26 00:00:00;2022-02-26 01:00:00;51,4379;5,3582;18,10;24,37;33,75;23991;33;51,5108;5,3606;13,86;19,98;30,42;32;51,4915;5,4392;12,87;18,33;27,33;30;51,4025;5,3515;20,40;26,02;36,98;39;51,4569;5,4384;13,79;18,32;28,33;29;;;16,83;22,22;28,79;56;51,4422;5,4844;17,74;24,17;32,08;28;51,3706;5,1565;17,88;22,63;32,27;31;51,4454;5,4854;17,04;22,16;33,26;42;51,4415;5,4716;12,62;19,25;27,67;21;51,4815;5,5199;15,81;21,46;27,89;11;51,4681;5,3902;13,69;18,01;24,76;21475;50;51,3468;5,3887;18,71;23,66;34,83;22;51,4137;5,4707;15,71;20,92;28,00;41;51,5697;5,3113;13,96;19,06;29,91;28;51,4332;5,5198;14,06;19,78;32,42;36;51,4371;5,4233;13,40;18,49;29,32;58;51,4585;5,4050;18,55;25,22;35,45;30;51,4444;5,4787;16,88;22,47;29,93;61;51,4546;5,3888;16,34;22,37;29,53;20477;43;51,4492;5,4570;19,91;26,46;34,49;22;51,4351;5,4799;15,55;22,92;35,95;36;51,4373;5,4513;14,62;20,85;28,86;31;51,4797;5,4751;17,17;22,61;29,02;33;51,5295;5,4719;17,82;23,68;34,34;43;51,4385;5,4821;23,21;31,01;40,86;44;51,4685;5,4721;20,13;27,14;36,64;22;51,4390;5,4650;18,15;24,17;31,29;53;51,4528;5,4851;20,46;26,50;34,54;49;51,4320;5,6272;20,14;26,23;38,94;48;51,5923;5,7812;17,80;24,69;40,37;25;51,5303;5,2846;17,73;24,66;41,63;39;51,3565;5,6358;15,50;20,15;32,64;37;51,5836;5,5480;13,99;19,86;26,79;33;51,5092;5,3781;13,57;19,48;27,18;46;51,4768;5,2616;13,18;19,11;26,90;40;51,4660;5,6786;18,32;25,06;34,49;64;51,4735;5,6530;20,95;28,12;35,81;38;51,3769;5,7723;17,08;22,53;29,53;26;51,4693;5,6348;17,31;23,56;30,69;33;51,4778;5,6567;16,53;23,33;31,13;53;51,3071;5,4218;17,25;23,03;31,38;20;51,4165;5,1266;16,94;23,63;31,85;35;51,4904;5,3941;16,12;21,80;29,00;42
2022-02-27 00:00:00;2022-02-27 01:00:00;51,4379;5,3581;9,84;13,15;19,20;16433;47;51,5108;5,3606;8,15;10,92;17,20;33;51,4915;5,4392;7,14;9,70;14,98;41;51,4025;5,3515;13,03;15,95;22,25;53;51,4567;5,4383;8,08;10,46;16,52;26;;;8,07;10,63;14,84;63;51,4422;5,4844;8,80;11,53;15,96;25;51,3706;5,1565;11,09;13,75;20,09;35;51,4454;5,4854;9,30;11,79;18,19;47;51,4413;5,4715;6,77;9,78;14,40;22;51,4815;5,5200;7,40;9,98;14,20;13;51,4681;5,3902;7,81;10,37;15,71;15564;71;51,3468;5,3887;11,20;13,73;19,92;29;51,4137;5,4707;8,23;10,66;14,93;59;51,5696;5,3113;9,05;11,60;18,73;38;51,4332;5,5198;6,94;9,57;16,12;43;51,4371;5,4233;7,32;9,89;16,74;72;51,4585;5,4050;10,05;13,47;19,66;32;51,4444;5,4787;8,37;10,82;15,24;72;51,4546;5,3888;8,18;11,20;15,88;12784;62;51,4492;5,4569;9,66;12,60;17,53;26;51,4351;5,4799;10,98;14,98;22,55;39;51,4374;5,4515;7,69;10,41;15,30;39;51,4798;5,4751;8,35;10,90;15,04;45;51,5295;5,4719;10,77;13,55;19,69;45;51,4384;5,4819;10,77;13,94;19,17;36;51,4685;5,4721;10,11;13,22;18,64;25;51,4390;5,4650;9,19;12,22;16,74;44;51,4528;5,4850;10,54;13,18;17,93;65;51,4320;5,6272;10,22;13,20;21,27;73;51,5923;5,7812;10,49;13,79;22,36;36;51,5303;5,2845;11,36;14,96;23,84;55;51,3565;5,6358;8,20;10,71;20,36;51;51,5836;5,5480;7,56;10,27;14,54;28;51,5092;5,3781;8,40;11,33;16,21;56;51,4769;5,2616;7,46;10,63;15,79;55;51,4660;5,6786;8,21;11,29;17,15;82;51,4735;5,6531;11,76;14,86;19,60;52;51,3769;5,7723;6,89;9,46;14,21;38;51,4693;5,6348;7,38;10,01;14,47;48;51,4777;5,6567;7,87;11,07;15,74;66;51,3072;5,4218;8,04;10,79;15,71;19;51,4165;5,1265;9,64;12,49;17,21;47;51,4904;5,3941;9,28;12,07;16,84;56
2022-02-28 00:00:00;2022-02-28 01:00:00;51,4379;5,3582;14,55;16,72;20,78;18288;51;51,5108;5,3606;11,44;13,89;17,93;44;51,4915;5,4392;8,83;10,33;14,23;47;51,4025;5,3514;17,40;19,48;24,15;54;51,4569;5,4384;10,17;11,59;15,39;28;;;11,37;12,98;16,45;70;51,4422;5,4844;11,54;13,05;16,50;31;51,3706;5,1565;14,85;16,91;21,27;44;51,4454;5,4854;12,76;14,40;18,80;60;51,4415;5,4714;8,42;10,15;13,61;30;51,4815;5,5199;11,25;12,79;15,98;14;51,4681;5,3902;10,60;12,07;15,54;17483;78;51,3468;5,3887;15,77;17,47;21,84;35;51,4137;5,4707;11,17;12,76;16,12;74;51,5695;5,3114;10,23;11,72;16,24;47;51,4332;5,5198;9,67;11,28;15,39;58;51,4371;5,4233;9,97;11,61;15,69;80;51,4585;5,4050;13,88;16,12;20,42;54;51,4445;5,4787;12,02;13,66;17,17;83;51,4546;5,3888;11,26;12,97;16,60;17254;69;51,4492;5,4570;12,84;14,75;19,26;23;51,4351;5,4799;11,24;13,58;18,50;44;51,4375;5,4517;9,81;11,43;14,90;41;51,4798;5,4751;9,84;11,23;14,54;55;51,5295;5,4719;13,06;14,73;18,85;53;51,4385;5,4817;13,93;15,87;19,92;42;51,4685;5,4721;13,81;15,69;19,62;35;51,4390;5,4650;11,42;13,14;16,88;53;51,4527;5,4852;14,63;16,30;20,19;82;51,4320;5,6272;15,14;17,09;22,10;79;51,5923;5,7813;14,35;16,41;22,19;45;51,5303;5,2845;14,84;17,13;22,40;63;51,3565;5,6358;11,05;12,67;18,88;54;51,5836;5,5480;10,92;12,70;16,04;45;51,5092;5,3781;11,14;13,16;16,62;65;51,4769;5,2616;10,01;11,87;15,28;57;51,4660;5,6786;12,29;14,28;18,68;98;51,4735;5,6531;16,17;18,42;22,57;79;51,3769;5,7723;10,33;11,92;15,38;48;51,4692;5,6349;11,00;12,66;16,32;63;51,4775;5,6567;11,25;13,42;17,09;86;51,3072;5,4218;12,73;14,59;18,29;31;51,4165;5,1264;13,11;14,78;17,95;37;51,4903;5,3941;11,05;12,72;16,08;70
2022-03-01 00:00:00;2022-03-01 01:00:00;51,4379;5,3582;26,22;29,56;34,67;25037;64;51,5108;5,3606;18,52;20,57;25,23;68;51,4915;5,4392;16,74;18,68;22,77;66;51,4025;5,3515;28,66;31,72;37,53;66;51,4569;5,4384;18,69;20,88;25,62;52;;;21,60;23,87;27,85;93;51,4422;5,4844;21,01;22,98;26,79;43;51,3706;5,1565;23,25;25,50;30,34;54;51,4454;5,4854;21,86;24,24;29,44;72;51,4415;5,4714;15,22;17,67;21,83;41;51,4815;5,5199;21,89;24,24;28,57;22;51,4681;5,3902;21,63;23,70;27,66;24338;93;51,3468;5,3887;26,52;29,18;34,58;45;51,4137;5,4707;21,19;23,63;27,37;80;51,5696;5,3114;19,46;21,70;26,85;50;51,4332;5,5198;17,83;20,01;25,05;62;51,4372;5,4233;18,07;20,41;24,85;88;51,4585;5,4050;25,09;28,30;33,09;72;51,4445;5,4787;21,58;23,92;27,84;94;51,4546;5,3888;21,57;23,76;27,82;23376;75;51,4492;5,4569;24,09;26,58;30,89;40;51,4351;5,4799;17,21;19,78;25,09;53;51,4375;5,4517;18,43;20,99;25,27;52;51,4797;5,4751;21,42;23,23;27,20;62;51,5295;5,4719;23,02;25,24;30,38;55;51,4385;5,4818;26,34;29,21;34,09;75;51,4685;5,4721;26,37;29,28;34,05;45;51,4389;5,4650;22,49;26,07;31,46;70;51,4528;5,4852;26,68;29,01;33,83;86;51,4320;5,6272;26,06;29,15;36,04;76;51,5923;5,7813;23,34;26,06;32,81;47;51,5303;5,2845;23,83;27,03;32,71;63;51,3565;5,6358;19,95;22,08;28,99;65;51,5836;5,5480;20,67;23,56;27,60;78;51,5092;5,3781;19,96;23,37;27,33;69;51,4768;5,2616;18,06;20,42;24,56;56;51,4660;5,6786;23,56;26,27;31,40;103;51,4735;5,6531;25,79;28,72;32,99;87;51,3769;5,7723;20,71;23,01;27,00;56;51,4692;5,6348;20,20;22,62;26,98;75;51,4775;5,6568;19,90;22,69;26,96;85;51,3072;5,4218;22,11;24,63;28,89;46;51,4165;5,1264;24,91;27,07;30,29;36;51,4903;5,3941;21,43;23,78;27,88;76
2022-03-02 00:00:00;2022-03-02 01:00:00;51,4379;5,3581;22,77;25,65;30,15;26289;44;51,5108;5,3606;17,42;19,14;23,42;53;51,4915;5,4392;15,42;17,13;21,00;59;51,4025;5,3515;25,62;28,28;33,04;63;51,4570;5,4384;17,08;18,96;23,24;49;;;18,94;20,80;24,33;60;51,4422;5,4844;18,46;19,97;23,45;39;51,3706;5,1565;21,11;22,98;27,08;48;51,4453;5,4854;19,76;21,66;26,34;37;51,4413;5,4714;13,51;15,53;19,28;39;51,4815;5,5200;19,59;21,69;24,85;16;51,4681;5,3902;19,08;20,85;24,59;24101;70;51,3468;5,3887;23,90;26,09;30,62;39;51,4136;5,4707;18,35;20,38;23,54;63;51,5696;5,3113;18,18;20,05;24,59;27;51,4332;5,5198;15,61;17,43;21,68;42;51,4373;5,4234;16,15;18,09;22,40;57;51,4584;5,4050;22,54;25,40;29,82;73;51,4445;5,4787;18,52;20,46;23,57;66;51,4546;5,3888;18,88;20,67;24,05;19115;45;51,4492;5,4569;21,99;24,05;27,98;47;51,4351;5,4799;14,97;16,93;21,42;45;51,4375;5,4517;16,33;18,28;21,87;48;51,4797;5,4751;19,45;20,93;23,96;43;51,5295;5,4718;21,00;22,83;27,24;61;51,4387;5,4815;22,91;25,26;29,37;66;51,4685;5,4721;23,99;26,56;30,51;34;51,4390;5,4650;18,56;20,45;24,66;72;51,4527;5,4852;24,05;25,97;29,47;56;51,4320;5,6272;22,69;25,40;30,47;77;51,5923;5,7812;22,10;24,18;29,51;36;51,5303;5,2845;21,19;23,52;28,26;51;51,3565;5,6358;17,14;19,07;26,77;68;51,5836;5,5480;18,39;20,86;24,12;81;51,5092;5,3781;18,37;21,25;24,50;62;51,4769;5,2616;16,58;18,69;22,53;41;51,4660;5,6785;19,78;22,07;26,71;65;51,4735;5,6531;22,83;25,26;28,75;72;51,3769;5,7723;17,48;19,43;23,07;47;51,4692;5,6346;18,23;20,38;24,13;67;51,4774;5,6567;17,66;20,08;23,63;64;51,3071;5,4217;18,94;20,96;24,64;50;51,4164;5,1264;22,56;24,55;27,41;37;51,4903;5,3941;19,57;21,58;25,06;55
2022-03-03 00:00:00;2022-03-03 01:00:00;51,4379;5,3582;22,25;24,75;29,34;30134;41;51,5108;5,3606;15,38;16,86;21,14;56;51,4915;5,4392;14,67;16,15;20,35;47;51,4025;5,3515;25,90;28,23;33,63;52;51,4569;5,4384;16,17;17,76;21,97;55;;;18,05;19,72;23,35;46;51,4422;5,4844;17,45;18,94;22,47;41;51,3706;5,1565;20,77;22,57;27,21;43;51,4454;5,4854;18,96;20,64;25,12;32;51,4413;5,4713;12,85;14,73;18,67;40;51,4815;5,5199;17,96;19,66;23,03;16;51,4681;5,3902;17,41;18,95;22,61;24053;49;51,3468;5,3887;23,97;26,14;31,22;36;51,4136;5,4707;18,07;19,81;23,39;52;51,5696;5,3114;16,16;17,69;22,21;28;51,4332;5,5197;14,60;16,20;20,54;34;51,4373;5,4234;15,66;17,49;21,96;60;51,4584;5,4050;21,56;24,00;28,77;68;51,4445;5,4788;17,83;19,50;23,01;46;51,4546;5,3888;17,36;19,08;22,83;21341;38;51,4492;5,4569;20,87;22,68;27,00;59;51,4350;5,4798;14,31;16,15;20,60;45;51,4375;5,4518;15,68;17,47;21,40;46;51,4797;5,4751;16,24;17,49;20,85;33;51,5295;5,4719;19,35;20,86;25,26;55;51,4384;5,4815;21,18;23,29;27,65;71;51,4685;5,4721;22,46;24,62;28,90;33;51,4390;5,4650;17,28;19,18;23,30;81;51,4527;5,4852;22,39;24,10;28,11;38;51,4320;5,6272;21,72;23,92;28,88;66;51,5923;5,7813;20,21;22,13;27,27;27;51,5303;5,2846;19,66;21,75;26,80;44;51,3565;5,6358;16,82;18,64;25,36;64;51,5836;5,5480;16,89;18,86;22,31;74;51,5092;5,3781;17,19;19,54;23,20;63;51,4768;5,2616;14,56;16,40;20,33;35;51,4660;5,6785;18,14;20,18;25,06;42;51,4735;5,6531;21,95;24,03;27,85;64;51,3769;5,7723;17,52;19,37;23,30;37;51,4692;5,6347;16,51;18,32;22,15;53;51,4779;5,6567;16,75;18,84;22,66;75;51,3071;5,4217;19,71;21,89;26,26;50;51,4164;5,1264;20,77;22,51;25,93;32;51,4903;5,3941;17,72;19,43;22,99;46
2022-03-04 00:00:00;2022-03-04 01:00:00;51,4379;5,3582;25,66;28,75;32,83;28491;33;51,5108;5,3606;19,07;20,88;25,24;32;51,4915;5,4392;18,49;20,74;24,84;33;51,4025;5,3515;28,18;30,98;35,59;38;51,4570;5,4384;19,58;21,54;26,08;36;;;22,04;24,06;27,02;22;51,4422;5,4844;21,80;23,38;26,74;29;51,3706;5,1565;22,21;23,99;28,11;33;51,4454;5,4854;22,68;24,88;29,29;32;51,4417;5,4714;15,59;17,73;21,57;23;51,4815;5,5199;22,93;25,14;28,23;16;51,4681;5,3902;21,34;23,30;26,77;25835;48;51,3468;5,3887;25,78;28,07;32,79;24;51,4136;5,4707;21,27;23,52;26,42;41;51,5696;5,3113;20,91;22,90;27,44;22;51,4332;5,5197;17,64;19,51;23,70;17;51,4373;5,4234;18,30;20,46;24,93;63;51,4584;5,4050;25,48;28,47;32,70;46;51,4447;5,4788;21,71;23,80;26,91;28;51,4546;5,3888;21,78;23,57;26,60;19849;28;51,4492;5,4569;25,52;27,68;31,08;44;51,4352;5,4799;17,29;19,21;23,49;22;51,4376;5,4514;18,66;20,76;24,33;31;51,4797;5,4751;22,34;23,87;26,90;18;51,5295;5,4719;24,98;27,00;31,46;50;51,4386;5,4819;25,78;28,25;31,73;41;51,4685;5,4721;27,50;30,28;33,95;25;51,4390;5,4650;22,34;25,33;30,55;45;51,4527;5,4852;26,92;28,94;32,40;26;51,4320;5,6272;25,25;28,13;33,18;60;51,5923;5,7813;27,28;29,91;35,31;18;51,5303;5,2845;24,38;26,91;31,86;24;51,3565;5,6358;20,21;22,38;30,13;51;51,5836;5,5481;21,50;24,30;27,56;52;51,5092;5,3781;20,12;23,46;26,83;33;51,4769;5,2616;17,50;19,46;23,17;34;51,4660;5,6785;23,01;25,61;29,99;29;51,4735;5,6531;26,09;29,01;32,40;36;51,3769;5,7723;22,10;24,43;27,99;27;51,4693;5,6349;21,15;23,43;27,27;32;51,4777;5,6568;21,56;24,53;27,92;48;51,3072;5,4218;21,48;23,51;27,10;35;51,4165;5,1264;22,53;24,26;27,02;31;51,4903;5,3941;22,44;24,58;28,11;27
