;;"I01";"I01";"I01";"I01";"I01";"I01";"I02";"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I04";"I05";"I05";"I05";"I05";"I05";"I05";"I06";"I06";"I06";"I06";"I06";"I06";"I07";"I07";"I07";"I07";"I07";"I07";"I09";"I09";"I09";"I09";"I09";"I09";"I10";"I10";"I10";"I10";"I10";"I10";"I11";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I12";"I13";"I13";"I13";"I13";"I13";"I13";"I14";"I14";"I14";"I14";"I14";"I14";"I14";"I16";"I16";"I16";"I16";"I16";"I16";"I17";"I17";"I17";"I17";"I17";"I17";"I18";"I18";"I18";"I18";"I18";"I18";"I19";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I32";"I33";"I33";"I33";"I33";"I33";"I33";"I36";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I40";"I41";"I41";"I41";"I42";"I42";"I42";"I42";"I42";"I42";"I43";"I43";"I43";"I43";"I43";"I43";"I44";"I44";"I44";"I44";"I44";"I44";"I45";"I45";"I45";"I45";"I45";"I45";"I46";"I46";"I46";"I46";"I46";"I46";"I47";"I47";"I47";"I47";"I47";"I47";"I48";"I48";"I48";"I48";"I48";"I48";"I49";"I49";"I49";"I49";"I49";"I49";"I50";"I50";"I50";"I50";"I50";"I50";"I51";"I51";"I51";"I51";"I51";"I51";"I52";"I52";"I52";"I52";"I52";"I52";"I55";"I55";"I55";"I55";"I55";"I55";"I56";"I56";"I56";"I56";"I56";"I56";"I58";"I58";"I58";"I58";"I58";"I58"
"Time";"Time";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2"
"UTC";"Local";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
"
2023-06-30 00:00:00;2023-06-30 02:00:00;51,4063;5,4574;2,05;3,34;14,31;13;51,4379;5,3582;5,19;6,78;15,43;11574;10;51,5108;5,3607;3,83;5,35;12,96;16;51,4915;5,4392;3,84;4,97;10,16;7;51,4025;5,3515;3,90;5,12;10,89;8;;;;;;;51,4569;5,4383;2,40;3,28;9,07;13;51,4423;5,4845;4,01;5,62;11,80;10;51,3706;5,1565;4,66;5,48;10,19;4;51,4454;5,4854;4,75;5,97;11,45;40;51,4415;5,4715;1,90;3,26;11,86;17;51,4815;5,5199;4,32;5,55;9,94;4;51,4682;5,3902;0,08;1,25;9,82;11637;5;51,3467;5,3887;2,35;3,39;8,67;7;51,4136;5,4707;1,32;2,50;9,72;15;51,5696;5,3113;3,38;4,29;10,51;17;51,4332;5,5198;1,77;2,80;9,89;56;;;;;;;51,4585;5,4050;2,57;3,87;11,35;61;51,4445;5,4787;1,95;3,48;14,94;15;51,4545;5,3888;4,61;5,73;11,19;14683;76;51,4491;5,4570;4,83;6,23;11,26;33;51,4352;5,4797;3,11;4,61;12,04;5;51,4373;5,4513;4,29;5,49;11,11;17;51,4797;5,4751;4,41;5,88;13,44;22;51,5295;5,4719;3,86;5,24;12,02;9;51,4387;5,4816;5,72;7,66;18,13;19;51,4686;5,4722;2,03;3,76;12,88;9;51,4390;5,4650;2,98;4,06;8,24;12;51,4528;5,4851;2,47;3,69;9,73;32;51,4320;5,6272;16;51,5923;5,7812;2,50;4,18;14,40;6;51,5305;5,2845;5,08;5,85;9,93;53;51,3564;5,6359;1,35;2,31;8,76;11;51,5835;5,5480;2,69;4,10;14,16;25;;;;;;;51,4769;5,2617;3,55;4,78;11,06;7;51,4661;5,6786;3,14;4,42;10,35;30;51,4736;5,6531;1,34;2,51;8,35;14;51,3769;5,7723;3,02;4,18;8,76;4;51,4693;5,6348;1,60;2,75;7,83;13;51,4775;5,6568;2,23;3,69;10,51;18;51,3072;5,4218;2,29;3,25;8,57;29;51,4165;5,1265;3,73;4,74;8,85;25;51,4904;5,3941;3,57;4,71;8,65;21
2023-07-01 00:00:00;2023-07-01 02:00:00;51,4063;5,4574;2,13;2,92;8,75;6;51,4379;5,3582;4,85;5,75;10,85;9456;5;51,5107;5,3606;3,80;4,72;10,07;9;51,4915;5,4391;3,47;4,14;7,63;3;51,4025;5,3514;3,74;4,52;8,82;4;;;;;;;51,4567;5,4383;2,03;2,51;6,27;11;51,4421;5,4844;4,08;4,96;8,87;7;51,3706;5,1565;4,82;5,39;8,64;2;51,4454;5,4854;4,89;5,65;9,18;13;51,4413;5,4714;1,78;2,60;7,89;6;51,4815;5,5199;3,57;4,24;7,29;3;51,4681;5,3901;-0,50;0,13;5,98;11448;4;51,3467;5,3887;2,78;3,74;7,70;5;51,4136;5,4707;0,97;1,60;6,28;7;51,5696;5,3113;3,13;3,63;7,14;10;51,4332;5,5198;2,40;3,15;8,20;25;;;;;;;51,4586;5,4049;2,27;2,97;7,81;22;51,4445;5,4786;2,11;2,97;9,56;6;51,4545;5,3887;3,81;4,38;7,83;10534;27;51,4491;5,4570;4,35;5,06;8,29;26;51,4352;5,4797;3,98;4,91;9,60;3;51,4373;5,4513;3,20;3,87;7,78;6;51,4797;5,4751;4,01;4,89;9,64;10;51,5295;5,4719;3,26;3,99;8,05;6;51,4388;5,4820;5,93;7,13;13,47;7;51,4687;5,4724;1,45;2,32;8,16;4;;;;;;;51,4528;5,4851;2,28;3,00;6,50;13;51,4320;5,6272;10;51,5923;5,7812;1,67;2,48;9,13;3;51,5305;5,2846;4,99;5,52;8,79;20;51,3565;5,6359;1,67;2,44;7,63;6;51,5836;5,5480;1,92;2,56;8,22;12;;;;;;;51,4769;5,2617;3,27;4,14;8,66;3;51,4661;5,6786;2,03;2,66;6,48;12;51,4735;5,6530;0,99;1,68;5,93;7;51,3769;5,7723;3,18;3,86;7,14;2;51,4693;5,6349;1,06;1,77;5,61;6;51,4777;5,6568;1,36;2,11;6,29;8;51,3072;5,4218;2,08;2,83;7,02;12;51,4165;5,1264;3,59;4,34;7,48;10;51,4904;5,3941;3,18;3,86;6,98;9
2023-07-02 00:00:00;2023-07-02 02:00:00;51,4063;5,4573;9,88;14,29;27,33;12;51,4379;5,3582;14,51;19,67;32,87;10862;8;51,5108;5,3607;11,18;14,77;23,96;14;51,4915;5,4391;12,16;15,89;23,52;4;51,4025;5,3514;14,27;18,59;28,44;9;;;;;;;51,4568;5,4384;10,00;13,00;20,50;11;51,4421;5,4844;13,45;17,29;24,42;7;51,3706;5,1565;13,04;16,02;22,15;3;51,4453;5,4854;13,02;17,24;26,10;51;51,4414;5,4713;10,55;15,34;27,88;21;51,4815;5,5199;12,31;15,79;20,85;3;51,4681;5,3901;7,68;11,12;21,71;11209;4;51,3467;5,3887;11,72;15,74;23,69;6;51,4136;5,4707;9,65;13,44;22,83;8;51,5696;5,3113;10,80;13,35;19,76;20;51,4332;5,5199;9,93;13,43;23,78;62;;;;;;;51,4586;5,4050;10,00;13,96;23,89;60;51,4445;5,4788;10,92;15,27;29,66;12;51,4547;5,3887;12,59;15,87;22,65;16464;111;51,4492;5,4570;16,98;20,74;26,54;27;51,4352;5,4797;10,93;14,68;23,58;4;51,4374;5,4515;11,75;15,22;23,21;11;51,4797;5,4751;13,22;17,86;29,52;25;51,5295;5,4719;12,16;16,09;24,89;7;51,4387;5,4821;16,32;21,70;37,15;22;51,4686;5,4722;9,62;14,06;24,28;4;;;;;;;51,4528;5,4850;10,49;14,11;21,37;25;51,4320;5,6272;15;51,5923;5,7812;9,47;13,90;27,22;4;51,5304;5,2845;13,99;16,41;23,00;59;51,3565;5,6359;10,13;14,08;22,58;10;51,5836;5,5480;10,13;13,68;25,38;22;;;;;;;51,4769;5,2616;10,93;15,18;25,05;10;51,4661;5,6786;11,25;14,87;22,54;28;51,4735;5,6530;9,47;13,25;20,97;9;51,3769;5,7723;13,03;16,55;22,08;2;51,4693;5,6348;9,81;13,29;20,25;7;51,4777;5,6568;9,62;13,50;21,92;8;51,3072;5,4218;9,75;13,98;23,12;26;51,4165;5,1264;14,00;17,54;22,51;29;51,4904;5,3941;13,00;16,07;20,86;31
2023-07-03 00:00:00;2023-07-03 02:00:00;51,4063;5,4573;5,30;9,24;26,63;17;51,4379;5,3582;8,77;13,33;28,55;8156;11;51,5108;5,3607;7,40;11,20;24,23;20;51,4915;5,4392;7,49;10,96;20,34;5;51,4025;5,3514;8,25;12,19;23,40;12;;;;;;;51,4568;5,4384;5,97;8,97;18,23;12;51,4421;5,4844;8,62;12,58;22,13;10;51,3706;5,1565;7,92;10,69;17,80;5;51,4454;5,4854;7,89;11,51;21,82;42;51,4416;5,4714;5,48;9,88;25,66;26;51,4815;5,5199;7,42;10,95;18,01;4;51,4681;5,3901;3,29;6,62;21,24;10190;3;51,3467;5,3887;5,76;9,03;17,98;6;51,4136;5,4707;4,82;8,28;19,40;7;51,5696;5,3113;6,75;9,23;17,82;25;51,4332;5,5198;6,09;9,39;23,41;53;;;;;;;51,4586;5,4050;5,69;9,55;22,69;47;51,4446;5,4788;6,47;10,69;28,36;17;51,4547;5,3887;7,72;10,93;20,04;10181;101;51,4492;5,4570;10,80;14,51;22,11;40;51,4352;5,4797;6,64;10,35;21,96;4;51,4375;5,4515;6,75;10,22;21,02;15;51,4797;5,4751;7,90;12,38;26,51;29;51,5295;5,4718;7,43;11,20;22,56;9;51,4387;5,4816;10,03;15,25;34,33;25;51,4687;5,4722;5,15;9,49;26,21;8;;;;;;;51,4528;5,4850;5,98;9,51;22,29;31;51,4320;5,6272;19;51,5923;5,7812;5,17;9,78;30,58;5;51,5304;5,2845;9,55;12,24;19,35;51;51,3564;5,6359;4,77;8,26;21,12;14;51,5836;5,5480;5,48;8,98;25,28;28;;;;;;;51,4769;5,2616;6,63;10,65;22,06;14;51,4661;5,6786;6,48;9,90;20,22;41;51,4735;5,6531;5,03;8,46;18,80;9;51,3769;5,7723;7,91;11,25;18,08;3;51,4693;5,6347;4,97;8,06;16,73;9;51,4777;5,6568;6,00;9,92;20,01;14;51,3072;5,4218;5,00;8,31;18,61;34;51,4165;5,1264;8,01;11,85;19,02;31;51,4904;5,3941;8,16;11,75;19,99;34
2023-07-04 00:00:00;2023-07-04 02:00:00;51,4063;5,4574;5,17;8,29;22,81;18;51,4379;5,3582;9,29;13,22;26,48;9829;10;51,5108;5,3607;7,33;10,45;20,66;18;51,4914;5,4392;7,85;10,65;18,31;7;51,4025;5,3514;8,37;11,59;20,85;12;;;;;;;51,4568;5,4384;5,88;8,28;16,44;13;51,4421;5,4844;8,08;11,34;19,17;11;51,3706;5,1565;7,81;9,96;16,17;4;51,4454;5,4854;8,45;11,42;20,15;40;51,4416;5,4714;5,90;9,46;22,75;26;51,4815;5,5200;7,14;9,99;15,57;4;51,4681;5,3901;3,71;6,47;18,67;10992;5;51,3467;5,3887;5,85;8,51;15,97;6;51,4136;5,4707;4,95;7,81;16,83;9;51,5696;5,3113;6,72;8,70;15,95;19;51,4332;5,5198;5,76;8,34;18,61;48;;;;;;;51,4586;5,4049;5,94;9,09;20,37;46;51,4446;5,4787;6,23;9,63;24,32;18;51,4546;5,3887;7,99;10,57;17,60;11402;97;51,4492;5,4570;11,16;14,09;20,05;37;51,4352;5,4797;6,68;9,73;18,96;4;51,4374;5,4514;7,38;10,15;18,31;22;51,4797;5,4751;7,97;11,60;23,26;28;51,5295;5,4718;8,88;11,91;20,74;10;51,4387;5,4820;10,87;15,75;33,02;26;51,4687;5,4721;5,41;9,05;22,54;9;;;;;;;51,4528;5,4851;6,26;9,10;18,58;35;51,4320;5,6272;19;51,5923;5,7812;5,40;8,89;23,31;7;51,5305;5,2845;8,73;10,75;16,45;44;51,3564;5,6359;4,61;7,32;17,49;13;51,5836;5,5480;6,00;8,83;21,12;25;;;;;;;51,4769;5,2617;6,88;9,98;19,47;12;51,4661;5,6786;6,77;9,56;17,92;40;51,4735;5,6530;5,49;8,33;16,83;11;51,3769;5,7723;7,46;10,12;16,08;5;51,4692;5,6347;5,28;7,86;14,93;12;51,4782;5,6568;5,78;8,83;17,24;20;51,3072;5,4218;4,82;7,44;15,83;31;51,4165;5,1264;8,22;10,96;16,36;25;51,4904;5,3941;7,55;10,35;16,32;32
2023-07-05 00:00:00;2023-07-05 02:00:00;51,4063;5,4574;2,95;4,05;11,11;13;51,4379;5,3582;6,37;7,74;14,48;9646;9;51,5108;5,3607;4,68;5,82;12,44;12;51,4914;5,4392;4,99;6,11;11,47;5;51,4025;5,3514;4,73;5,82;10,92;8;;;;;;;51,4568;5,4384;3,31;4,10;8,76;13;51,4422;5,4844;5,53;6,66;10,90;11;51,3706;5,1565;5,14;5,94;9,86;4;51,4454;5,4854;5,82;6,88;11,23;31;51,4416;5,4714;2,99;4,27;11,34;22;51,4815;5,5199;5,95;6,99;10,76;4;51,4681;5,3901;0,67;1,64;9,65;11589;4;51,3467;5,3887;2,60;3,52;7,57;6;51,4136;5,4707;2,21;3,21;8,97;10;51,5695;5,3113;4,35;5,15;10,51;16;51,4332;5,5199;4,12;5,23;11,40;39;;;;;;;51,4586;5,4048;3,49;4,61;10,58;35;51,4446;5,4787;3,65;4,86;12,27;14;51,4544;5,3888;5,44;6,38;10,94;12458;72;51,4491;5,4570;6,66;7,74;11,96;27;51,4352;5,4797;3,76;4,89;10,22;4;51,4374;5,4514;4,52;5,46;10,01;18;51,4797;5,4751;5,15;6,46;12,76;22;51,5295;5,4718;11,93;12,99;18,06;9;51,4389;5,4821;6,76;8,32;15,83;21;51,4687;5,4721;2,52;3,79;11,75;8;;;;;;;51,4528;5,4851;3,23;4,34;10,14;26;51,4320;5,6272;13;51,5923;5,7812;2,87;4,12;12,67;4;51,5305;5,2845;6,15;6,92;11,00;38;51,3564;5,6359;1,87;2,75;9,26;10;51,5836;5,5480;3,58;4,61;11,62;18;;;;;;;51,4768;5,2616;4,19;5,31;10,11;9;51,4661;5,6786;3,70;4,68;9,61;29;51,4735;5,6530;2,78;3,84;8,53;9;51,3769;5,7723;5,39;6,29;9,97;4;51,4692;5,6347;2,29;3,22;7,39;9;51,4778;5,6568;3,02;4,10;8,84;17;51,3072;5,4218;2,66;3,61;8,36;25;51,4165;5,1265;4,65;5,57;9,35;19;51,4904;5,3941;4,44;5,71;11,47;27
2023-07-06 00:00:00;2023-07-06 02:00:00;51,4063;5,4574;2,97;4,57;13,93;15;51,4379;5,3582;6,75;8,94;18,12;9871;9;51,5108;5,3607;5,38;7,13;14,58;20;51,4914;5,4392;5,70;7,33;12,95;14;51,4025;5,3514;5,41;7,14;13,57;7;;;;;;;51,4568;5,4384;3,91;5,10;10,91;14;51,4422;5,4844;5,19;7,03;12,63;13;51,3706;5,1565;5,91;7,16;12,09;7;51,4454;5,4854;6,35;8,04;13,58;36;51,4416;5,4715;3,53;5,48;14,21;20;51,4815;5,5200;4,40;5,95;10,31;5;51,4681;5,3901;1,54;3,00;10,68;11839;10;51,3468;5,3887;3,36;4,78;10,27;8;51,4136;5,4707;2,59;4,05;10,61;17;51,5695;5,3113;4,93;6,16;12,04;16;51,4332;5,5199;3,53;5,00;12,22;39;;;;;;;51,4586;5,4047;4,13;5,90;13,42;48;51,4445;5,4788;4,14;6,20;17,35;16;51,4545;5,3888;5,53;6,88;11,76;12973;65;51,4492;5,4570;8,32;9,93;14,42;26;51,4352;5,4797;4,35;6,13;13,51;6;51,4375;5,4517;5,44;6,98;13,08;30;51,4797;5,4751;5,94;7,89;15,65;20;51,5295;5,4719;5,80;7,60;14,37;12;51,4385;5,4828;7,28;9,71;20,54;16;51,4687;5,4721;3,44;5,53;13,89;9;;;;;;;51,4528;5,4851;4,09;5,73;11,68;41;51,4320;5,6272;15;51,5923;5,7813;3,91;6,00;16,92;9;51,5305;5,2845;6,84;8,03;12,80;36;51,3565;5,6359;2,51;3,94;11,23;11;51,5836;5,5480;4,50;6,22;15,36;17;;;;;;;51,4768;5,2616;5,07;6,94;13,89;8;51,4661;5,6785;4,59;6,13;11,72;31;51,4736;5,6530;3,53;5,25;11,85;15;51,3769;5,7723;4,76;6,24;11,00;8;51,4693;5,6349;3,05;4,46;9,58;17;51,4776;5,6568;4,07;5,91;12,18;29;51,3072;5,4218;2,95;4,39;10,63;27;51,4164;5,1265;5,54;7,04;11,42;15;51,4904;5,3941;5,36;6,81;10,88;24
2023-07-07 00:00:00;2023-07-07 02:00:00;51,4063;5,4574;4,38;5,45;11,87;22;51,4379;5,3582;7,37;8,64;14,33;14878;16;51,5107;5,3606;5,38;6,17;10,08;27;51,4914;5,4391;6,62;7,56;11,36;10;51,4025;5,3514;6,84;7,80;12,00;16;;;;;;;51,4567;5,4383;4,12;4,79;8,34;17;51,4421;5,4845;5,85;6,92;10,89;14;51,3706;5,1565;7,33;8,07;11,69;9;51,4454;5,4854;7,62;8,81;13,17;55;51,4416;5,4715;4,64;5,89;12,24;32;51,4815;5,5199;7,28;8,07;11,16;5;51,4681;5,3902;2,59;3,40;9,29;17617;12;51,3469;5,3887;4,93;5,88;9,82;11;51,4136;5,4707;3,86;4,80;10,20;21;51,5696;5,3114;4,80;5,48;10,28;20;51,4332;5,5199;3,81;4,62;10,99;54;;;;;;;51,4586;5,4048;4,87;6,02;11,17;83;51,4445;5,4787;4,90;6,13;14,05;24;51,4545;5,3888;6,54;7,39;11,47;18691;115;51,4492;5,4570;12,12;13,01;16,49;59;51,4352;5,4797;4,99;5,95;10,65;12;51,4375;5,4516;7,12;8,06;12,44;38;51,4797;5,4751;7,28;8,56;13,95;34;51,5295;5,4718;6,42;7,38;11,60;17;51,4381;5,4821;9,53;11,01;18,02;28;51,4687;5,4721;4,19;5,38;11,75;11;;;;;;;51,4528;5,4851;5,07;6,13;10,32;43;51,4320;5,6272;27;51,5923;5,7812;4,42;5,44;12,23;14;51,5304;5,2845;6,39;6,94;10,43;70;51,3564;5,6359;4,40;5,45;14,11;19;51,5836;5,5480;4,97;5,92;13,09;33;;;;;;;51,4768;5,2616;5,84;6,89;10,93;14;51,4661;5,6786;5,79;6,95;11,27;56;51,4735;5,6530;4,85;6,15;10,67;31;51,3769;5,7723;5,58;6,50;10,76;24;51,4692;5,6347;5,08;6,13;10,07;26;51,4774;5,6567;5,24;6,52;11,15;45;51,3072;5,4218;4,52;5,55;9,42;51;51,4164;5,1265;7,48;8,35;11,41;28;51,4904;5,3941;5,65;6,44;9,45;36
