;;"I01";"I01";"I01";"I01";"I01";"I01";"I02";"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I04";"I05";"I05";"I05";"I05";"I05";"I05";"I06";"I06";"I06";"I06";"I06";"I06";"I07";"I07";"I07";"I07";"I07";"I07";"I08";"I08";"I08";"I08";"I08";"I08";"I09";"I09";"I09";"I09";"I09";"I09";"I10";"I10";"I10";"I10";"I10";"I10";"I11";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I12";"I13";"I13";"I13";"I13";"I13";"I13";"I14";"I14";"I14";"I14";"I14";"I14";"I14";"I16";"I16";"I16";"I16";"I16";"I16";"I17";"I17";"I17";"I17";"I17";"I17";"I18";"I18";"I18";"I18";"I18";"I18";"I19";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I32";"I33";"I33";"I33";"I33";"I33";"I33";"I36";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I40";"I41";"I41";"I41";"I41";"I41";"I41";"I42";"I42";"I42";"I42";"I42";"I42";"I43";"I43";"I43";"I43";"I43";"I43";"I44";"I44";"I44";"I44";"I44";"I44";"I45";"I45";"I45";"I45";"I45";"I45";"I46";"I46";"I46";"I46";"I46";"I46";"I47";"I47";"I47";"I47";"I47";"I47";"I48";"I48";"I48";"I48";"I48";"I48";"I49";"I49";"I49";"I49";"I49";"I49";"I50";"I50";"I50";"I50";"I50";"I50";"I51";"I51";"I51";"I51";"I51";"I51";"I52";"I52";"I52";"I52";"I52";"I52";"I55";"I55";"I55";"I55";"I55";"I55";"I56";"I56";"I56";"I56";"I56";"I56";"I58";"I58";"I58";"I58";"I58";"I58";"I59";"I59";"I59";"I59";"I59";"I59"
"Time";"Time";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2"
"UTC";"Local";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
"
2024-08-23 00:00:00;2024-08-23 02:00:00;51,4063;5,4574;2,75;4,05;9,93;7;51,4379;5,3582;2,57;3,59;8,31;7890;6;51,5107;5,3605;2,03;3,06;8,88;4;51,4914;5,4391;1,41;2,28;7,63;7;51,4025;5,3514;3,60;4,49;8,19;9;51,4052;5,4581;1,95;2,86;8,26;5;51,4569;5,4384;2,62;3,32;7,07;10;51,4465;5,4480;3,11;4,23;10,33;1;51,4422;5,4844;2,73;3,72;10,16;4;51,3707;5,1565;2,33;3,20;8,68;2;51,4453;5,4854;3,41;4,24;8,90;;51,4413;5,4713;2,64;3,80;10,14;4;51,4815;5,5200;2,26;3,12;7,97;4;51,4681;5,3901;3,32;4,20;8,59;7074;7;51,3469;5,3887;2,75;3,61;8,36;6;51,4136;5,4708;2,29;3,17;8,30;2;51,5696;5,3113;2,60;3,40;8,16;5;51,4332;5,5197;3,15;4,22;10,20;8;51,4372;5,4233;2,38;3,31;7,85;8;51,4584;5,4050;3,38;4,27;9,23;7;51,4445;5,4788;4,82;5,74;10,60;5;51,4545;5,3888;3,04;3,85;9,12;8249;8;3,85;4,92;11,79;10;51,4350;5,4797;2,48;3,48;9,24;3;51,4374;5,4514;5,23;6,00;9,84;5;51,4797;5,4751;3,08;3,87;7,85;2;51,5296;5,4718;2,84;4,03;9,01;12;51,4386;5,4812;2,99;3,98;9,04;3;51,4687;5,4723;2,32;3,16;8,29;9;51,4391;5,4650;2,19;3,09;8,07;4;51,4528;5,4850;2,90;3,82;7,49;9;51,4320;5,6272;3,32;4,22;9,26;6;51,5923;5,7812;6,06;7,16;13,16;8;51,5304;5,2846;3,38;4,47;9,64;6;51,3565;5,6359;1,46;2,27;7,83;6;51,5836;5,5480;3,14;4,21;9,54;12;51,5092;5,3780;13,76;14,80;20,06;9;51,4769;5,2617;3,04;4,18;9,32;7;51,4661;5,6786;2,72;3,71;10,24;7;51,4736;5,6530;2,57;3,60;8,13;5;51,3770;5,7724;2,45;3,29;8,32;4;51,4692;5,6347;2,25;3,08;6,80;4;51,4775;5,6567;3,44;4,56;10,56;16;51,3072;5,4218;2,16;3,03;7,46;6;51,4164;5,1265;2,82;3,75;8,52;4;51,4904;5,3941;2,20;2,98;7,41;7;51,4738;5,4428;7,16;8,25;13,72;12
2024-08-24 00:00:00;2024-08-24 02:00:00;51,4063;5,4574;4,12;5,41;10,24;7;51,4379;5,3582;4,32;5,28;9,25;6562;8;51,5107;5,3605;4,29;5,33;10,85;5;51,4914;5,4390;3,65;4,56;8,82;6;51,4025;5,3514;5,74;6,67;10,22;9;51,4052;5,4582;4,95;5,95;10,51;7;51,4569;5,4384;4,19;4,97;8,60;8;51,4465;5,4481;4,90;5,98;11,06;1;51,4422;5,4844;4,42;5,46;15,51;3;51,3707;5,1565;4,14;4,97;9,69;2;51,4453;5,4854;5,28;6,16;10,17;3;51,4413;5,4713;4,96;6,23;11,69;4;51,4815;5,5200;5,60;6,49;10,72;3;51,4681;5,3901;5,34;6,27;10,98;7126;8;51,3469;5,3887;4,51;5,32;9,40;6;51,4136;5,4707;4,21;5,19;10,82;3;51,5695;5,3113;5,06;5,93;9,91;6;51,4331;5,5196;4,86;5,84;10,70;2;51,4372;5,4233;4,12;5,06;8,95;10;51,4584;5,4050;5,22;6,09;10,24;5;51,4445;5,4787;8,44;9,48;13,81;6;51,4546;5,3887;5,03;5,87;10,33;7607;8;5,64;6,80;11,73;7;51,4350;5,4797;4,51;5,50;10,64;6;51,4374;5,4513;7,55;8,31;12,02;4;51,4797;5,4751;5,30;6,15;9,69;4;51,5295;5,4719;4,12;5,11;9,19;9;51,4385;5,4810;4,81;5,75;10,04;5;51,4686;5,4723;4,25;5,16;9,39;7;51,4390;5,4649;4,10;5,07;9,31;4;51,4528;5,4850;5,35;6,37;9,94;8;51,4320;5,6272;5,84;6,81;11,36;7;51,5923;5,7812;8,14;9,41;14,59;7;51,5304;5,2846;5,02;5,96;10,42;7;51,3565;5,6359;3,31;4,12;8,41;7;51,5836;5,5480;5,54;6,55;11,03;14;51,5092;5,3780;14,63;15,65;19,88;6;51,4769;5,2617;4,43;5,44;10,01;7;51,4661;5,6786;4,75;5,66;10,04;7;51,4735;5,6530;5,66;6,84;11,00;5;51,3770;5,7724;5,26;6,23;10,28;3;51,4692;5,6347;5,27;6,33;9,92;4;51,4777;5,6568;5,86;7,10;12,22;8;51,3072;5,4218;4,10;5,08;8,76;6;51,4164;5,1265;5,12;6,07;10,10;5;51,4904;5,3941;4,09;4,89;8,43;5;51,4738;5,4428;7,58;8,75;13,84;7
2024-08-25 00:00:00;2024-08-25 02:00:00;51,4063;5,4574;4,15;6,37;13,63;13;51,4379;5,3582;4,56;6,28;11,98;19764;9;51,5107;5,3605;4,52;5,98;12,88;7;51,4914;5,4390;3,92;5,29;11,38;7;51,4025;5,3514;5,88;7,22;12,25;9;51,4052;5,4581;5,30;6,85;12,82;8;51,4569;5,4384;4,42;5,50;9,76;10;51,4465;5,4481;4,74;6,48;13,34;1;51,4422;5,4844;4,30;5,79;11,35;5;51,3707;5,1565;3,60;4,88;10,37;4;51,4453;5,4854;5,28;6,66;11,91;3;51,4413;5,4713;5,09;6,90;14,17;5;51,4815;5,5200;5,30;6,65;12,02;5;51,4681;5,3901;5,24;6,55;11,80;17116;8;51,3469;5,3887;4,67;6,17;12,34;8;51,4137;5,4708;4,24;5,75;11,68;6;51,5695;5,3113;7,41;8,50;13,40;7;51,4331;5,5196;5,04;6,57;13,22;7;51,4372;5,4233;4,43;6,03;11,70;11;51,4584;5,4050;5,35;6,73;12,18;9;51,4445;5,4787;7,44;8,97;15,18;7;51,4546;5,3887;4,60;5,88;11,87;23369;10;5,28;6,98;14,08;11;51,4351;5,4798;4,18;5,94;11,99;8;51,4375;5,4517;7,13;8,36;13,32;5;51,4797;5,4751;5,83;7,05;12,10;4;51,5295;5,4718;4,00;5,82;11,28;12;51,4386;5,4820;4,84;6,51;11,75;8;51,4686;5,4723;4,31;5,67;12,60;10;51,4390;5,4650;4,39;5,82;11,34;7;51,4528;5,4850;5,16;6,60;11,36;10;51,4320;5,6272;5,85;7,40;13,51;12;51,5923;5,7812;8,99;10,85;17,96;14;51,5305;5,2846;4,85;6,22;11,43;9;51,3565;5,6359;3,64;4,99;10,66;10;51,5835;5,5480;5,80;7,44;13,94;14;51,5092;5,3780;15,02;16,29;21,40;11;51,4769;5,2617;4,10;5,79;11,21;9;51,4660;5,6785;4,16;5,50;10,83;9;51,4736;5,6530;5,62;7,19;12,67;6;51,3770;5,7724;8,71;10,06;15,24;4;51,4692;5,6347;4,66;5,94;10,44;4;51,4778;5,6568;5,44;7,16;15,08;7;51,3072;5,4218;4,79;6,19;11,92;10;51,4164;5,1265;5,14;6,52;12,13;6;51,4904;5,3941;3,59;4,60;9,17;6;51,4738;5,4428;9,07;10,70;16,77;11
2024-08-26 00:00:00;2024-08-26 02:00:00;51,4063;5,4574;4,81;7,08;14,00;22;51,4379;5,3582;4,79;6,52;11,99;10326;12;51,5107;5,3605;4,26;5,99;13,46;11;51,4914;5,4390;3,24;4,54;10,03;17;51,4025;5,3514;5,29;6,59;11,09;10;51,4052;5,4581;5,01;6,59;12,66;12;51,4569;5,4384;4,98;6,24;10,69;15;51,4466;5,4480;5,83;7,93;14,86;3;51,4422;5,4844;4,53;6,23;13,57;8;51,3706;5,1565;4,00;5,41;11,47;8;51,4453;5,4854;5,49;7,04;12,20;12;51,4414;5,4713;5,06;7,19;15,69;7;51,4815;5,5200;4,45;5,71;9,87;10;51,4681;5,3901;4,81;6,22;11,36;10531;13;51,3469;5,3887;5,20;6,69;12,75;12;51,4137;5,4708;4,74;6,32;12,25;12;51,5695;5,3113;6,09;7,32;12,52;9;51,4332;5,5197;5,70;7,56;15,02;14;51,4372;5,4233;7,27;8,99;14,60;20;51,4584;5,4050;5,40;6,98;12,47;23;51,4445;5,4787;19,96;21,78;28,28;11;51,4545;5,3887;5,16;6,61;13,29;13457;14;5,78;7,79;16,02;15;51,4351;5,4797;5,07;7,03;13,29;13;51,4375;5,4516;8,20;9,60;14,73;10;51,4797;5,4751;5,40;6,82;11,95;8;51,5295;5,4719;4,18;6,06;11,55;22;51,4388;5,4823;5,03;6,91;12,26;10;51,4686;5,4723;4,52;6,01;12,56;19;51,4390;5,4649;4,47;6,07;11,92;12;51,4528;5,4850;5,18;6,83;11,79;19;51,4320;5,6272;6,03;7,57;13,08;18;51,5923;5,7812;7,86;9,90;17,28;18;51,5305;5,2846;4,38;5,89;11,27;10;51,3565;5,6359;3,95;5,25;10,56;11;51,5836;5,5480;5,32;7,18;13,77;25;51,5092;5,3780;14,11;15,62;21,30;27;51,4769;5,2617;4,34;6,05;11,70;12;51,4661;5,6786;5,00;6,62;13,04;17;51,4736;5,6531;5,91;7,66;13,03;8;51,3769;5,7724;6,01;7,39;12,55;8;51,4692;5,6348;5,12;6,54;10,95;7;51,4778;5,6568;6,36;8,39;15,64;27;51,3072;5,4218;6,32;7,85;12,79;14;51,4165;5,1265;4,24;5,50;10,30;9;51,4904;5,3942;3,68;4,87;9,25;24;51,4738;5,4428;9,48;11,41;18,08;21
2024-08-27 00:00:00;2024-08-27 02:00:00;51,4063;5,4574;6,54;8,25;14,13;20;51,4379;5,3582;7,28;8,69;14,04;14849;16;51,5107;5,3606;8,09;9,50;14,90;18;51,4914;5,4391;7,30;8,57;15,50;20;51,4025;5,3514;8,66;9,84;13,96;10;51,4052;5,4582;9,40;11,01;16,81;21;51,4569;5,4384;6,94;8,14;12,48;15;51,4465;5,4481;8,70;10,47;17,93;2;51,4422;5,4843;6,92;8,16;13,46;11;51,3707;5,1565;6,77;8,03;13,56;10;51,4453;5,4854;8,66;10,08;15,51;13;51,4413;5,4713;8,51;10,63;17,56;11;51,4815;5,5200;8,71;9,76;14,14;13;51,4681;5,3901;7,75;8,91;13,50;12495;20;51,3469;5,3887;7,63;8,95;14,22;18;51,4137;5,4707;7,75;9,28;17,07;17;51,5695;5,3113;9,48;10,85;18,95;13;51,4332;5,5197;7,89;9,28;15,07;13;51,4372;5,4233;9,49;11,71;18,37;30;51,4584;5,4050;9,40;10,92;16,37;33;51,4445;5,4787;28,32;30,09;36,30;17;51,4545;5,3888;8,88;10,20;15,82;18300;27;9,39;11,30;18,96;19;51,4350;5,4797;8,10;9,77;16,77;21;51,4375;5,4517;11,49;12,72;17,59;14;51,4797;5,4751;9,02;10,35;15,19;10;51,5296;5,4719;6,70;8,17;13,06;29;51,4389;5,4818;8,14;9,62;15,12;18;51,4686;5,4724;8,26;9,71;14,57;26;51,4390;5,4649;7,23;8,74;14,18;19;51,4528;5,4850;8,96;10,67;15,55;20;51,4320;5,6272;9,45;10,91;16,92;18;51,5923;5,7812;10,61;12,24;18,30;29;51,5305;5,2846;7,10;8,34;12,91;12;51,3565;5,6359;7,13;8,76;17,11;16;51,5836;5,5480;10,81;12,66;18,96;22;51,5092;5,3780;12,35;13,64;19,14;32;51,4769;5,2617;6,54;7,82;12,91;14;51,4660;5,6786;8,69;10,63;17,46;19;51,4736;5,6530;10,20;12,40;18,69;12;51,3769;5,7724;8,04;9,34;14,75;10;51,4692;5,6348;9,67;11,31;15,99;10;51,4778;5,6568;11,34;13,58;21,00;43;51,3072;5,4218;8,28;9,64;14,04;17;51,4164;5,1265;8,43;9,63;14,01;9;51,4904;5,3941;8,16;9,57;13,94;22;51,4738;5,4428;12,79;14,58;21,49;23
2024-08-28 00:00:00;2024-08-28 02:00:00;51,4063;5,4574;7,18;8,55;14,38;25;51,4379;5,3582;7,90;9,09;14,37;19920;15;51,5108;5,3606;9,52;10,81;16,48;22;51,4915;5,4391;8,51;9,66;15,83;21;51,4025;5,3514;9,51;10,53;14,18;11;51,4052;5,4582;10,51;12,00;17,37;20;51,4568;5,4383;6,76;7,78;11,63;19;51,4465;5,4488;8,84;10,11;16,46;1;51,4422;5,4843;7,43;8,37;14,25;12;51,3706;5,1565;7,34;8,46;14,13;9;51,4454;5,4854;9,68;10,81;15,66;13;51,4413;5,4713;9,22;11,07;17,18;10;51,4815;5,5200;9,59;10,44;13,75;11;51,4681;5,3901;8,18;9,10;12,69;16436;21;51,3468;5,3887;7,70;8,60;12,83;18;51,4135;5,4706;8,32;9,40;17,28;18;51,5695;5,3113;9,55;10,81;16,08;15;51,4332;5,5198;8,24;9,41;14,90;13;51,4372;5,4233;8,19;9,42;14,35;29;51,4584;5,4050;9,87;11,07;16,57;32;51,4445;5,4787;29,75;31,28;37,07;16;51,4546;5,3888;9,55;10,63;15,52;23978;24;10,12;11,58;18,33;22;51,4350;5,4797;8,83;10,02;15,78;27;51,4375;5,4515;12,51;13,50;17,81;9;51,4797;5,4751;9,91;11,10;15,19;11;51,5296;5,4719;7,64;9,03;13,69;23;51,4389;5,4820;9,08;10,24;15,72;19;51,4686;5,4723;8,80;10,01;14,26;21;51,4390;5,4649;7,92;9,18;13,69;20;51,4528;5,4850;10,12;11,63;15,95;18;51,4320;5,6272;10,45;11,61;17,26;16;51,5923;5,7812;11,07;12,47;18,33;30;51,5305;5,2846;7,96;8,90;12,72;13;51,3565;5,6359;7,30;8,45;15,73;17;51,5836;5,5480;11,79;13,13;18,70;21;51,5092;5,3781;10,01;11,19;16,83;33;51,4769;5,2617;7,49;8,59;13,51;18;51,4660;5,6786;8,56;9,93;15,80;17;51,4736;5,6530;10,07;11,84;16,71;10;51,3769;5,7724;9,13;10,50;16,18;12;51,4692;5,6348;10,02;11,49;15,35;8;51,4777;5,6568;11,90;13,80;19,91;47;51,3072;5,4218;8,97;10,16;13,92;16;51,4165;5,1265;9,56;10,64;14,78;8;51,4904;5,3941;7,77;8,75;13,16;23;51,4738;5,4428;12,70;14,13;19,91;18
2024-08-29 00:00:00;2024-08-29 02:00:00;51,4063;5,4574;7,57;9,32;15,99;13;51,4379;5,3582;8,56;9,93;14,70;14076;10;51,5107;5,3606;9,99;11,51;18,02;12;51,4915;5,4392;8,21;9,48;15,07;17;51,4025;5,3514;11,50;13,10;17,87;10;51,4052;5,4581;10,93;12,66;18,63;20;51,4568;5,4383;7,63;8,81;13,02;14;51,4465;5,4484;9,10;10,69;18,08;1;51,4423;5,4843;9,16;11,19;38,99;9;51,3706;5,1565;9,70;11,15;17,64;5;51,4454;5,4854;9,46;10,76;16,13;7;51,4415;5,4714;9,35;11,32;18,73;6;51,4815;5,5199;10,81;12,07;16,72;12;51,4681;5,3901;9,63;10,99;16,07;10310;12;51,3468;5,3887;9,25;10,72;17,28;12;51,4137;5,4706;9,41;10,77;16,61;12;51,5695;5,3113;9,06;10,33;15,40;11;51,4332;5,5197;9,85;11,20;17,38;9;51,4373;5,4233;7,92;9,25;14,54;13;51,4584;5,4050;9,43;10,69;16,04;15;51,4445;5,4787;17,49;19,06;25,34;10;51,4547;5,3887;9,73;11,01;17,23;16314;14;11,48;13,29;21,30;16;51,4350;5,4797;8,84;10,35;18,61;15;51,4374;5,4515;12,21;13,29;18,03;7;51,4797;5,4751;10,57;11,88;16,86;5;51,5296;5,4718;8,31;9,92;15,41;14;51,4386;5,4818;9,49;10,96;16,42;11;51,4686;5,4723;9,18;10,67;15,75;13;51,4390;5,4649;8,45;9,94;15,62;12;51,4528;5,4850;10,26;11,91;16,58;12;51,4320;5,6272;11,47;13,13;19,72;12;51,5923;5,7812;14,06;16,13;22,93;19;51,5304;5,2846;9,85;11,16;15,82;11;51,3564;5,6359;7,78;9,20;16,86;12;51,5835;5,5480;12,46;14,27;20,94;19;51,5092;5,3781;10,60;11,92;17,54;16;51,4769;5,2616;8,69;10,21;15,76;13;51,4660;5,6786;8,47;10,04;16,63;16;51,4735;5,6530;10,31;12,15;16,84;7;51,3769;5,7724;10,98;12,79;18,81;10;51,4693;5,6348;10,99;12,67;17,21;6;51,4775;5,6568;11,11;13,19;21,37;18;51,3072;5,4218;9,38;10,81;14,96;13;51,4165;5,1264;10,19;11,59;16,32;7;51,4903;5,3941;7,44;8,49;13,11;11;51,4738;5,4428;14,03;15,75;22,50;17
2024-08-30 00:00:00;2024-08-30 02:00:00;51,4062;5,4574;8,17;10,42;16,61;7;51,4379;5,3582;9,93;11,82;17,90;16416;11;51,5107;5,3606;10,45;12,15;18,09;11;51,4915;5,4392;9,00;10,56;16,06;17;51,4025;5,3514;11,18;12,85;18,06;10;51,4052;5,4582;10,53;12,60;19,06;40;51,4567;5,4382;8,77;10,20;15,06;10;51,4464;5,4484;10,90;13,22;20,85;1;51,4422;5,4843;8,67;10,91;18,34;7;51,3706;5,1565;8,88;10,47;16,74;6;51,4454;5,4854;9,99;11,56;17,04;6;51,4416;5,4714;10,67;13,14;21,06;6;51,4815;5,5199;12,04;13,78;19,71;9;51,4681;5,3901;9,92;11,56;17,43;9764;14;51,3468;5,3887;10,50;12,14;17,94;14;51,4136;5,4707;9,52;11,12;17,61;9;51,5695;5,3113;9,93;11,56;17,00;11;51,4332;5,5198;8,37;9,67;14,20;3;51,4372;5,4233;8,45;10,04;15,65;15;51,4584;5,4050;11,24;12,97;19,12;22;51,4446;5,4787;12,87;14,72;21,12;9;51,4546;5,3887;11,01;12,70;19,44;12901;14;11,44;13,55;20,84;17;51,4350;5,4797;9,53;11,46;17,92;14;51,4375;5,4516;11,99;13,40;18,90;5;51,4797;5,4751;11,74;13,41;18,81;8;51,5296;5,4719;8,52;10,43;16,35;22;51,4387;5,4815;10,25;11,99;17,77;15;51,4686;5,4723;10,23;12,07;17,92;13;51,4390;5,4649;9,18;10,95;16,77;12;51,4528;5,4850;10,52;12,43;17,80;11;51,4320;5,6272;11,94;13,94;20,92;11;51,5923;5,7812;10,51;12,03;17,44;19;51,5305;5,2846;9,75;11,27;16,31;11;51,3564;5,6359;8,50;10,13;16,21;11;51,5836;5,5480;11,34;13,27;19,49;13;51,5092;5,3781;10,99;12,58;18,00;17;51,4769;5,2617;8,17;9,72;15,00;12;51,4661;5,6786;8,65;10,37;16,52;13;51,4735;5,6531;10,35;12,38;17,81;8;51,3769;5,7724;9,94;11,49;15,84;8;51,4693;5,6349;10,33;12,24;17,26;7;51,4775;5,6568;11,10;13,21;19,32;12;51,3072;5,4218;10,45;11,99;15,97;15;51,4165;5,1264;10,55;12,29;17,64;7;51,4903;5,3941;8,33;9,67;14,45;12;51,4738;5,4428;13,84;16,07;23,32;9
