;;"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I05";"I05";"I05";"I05";"I05";"I07";"I07";"I07";"I07";"I07";"I08";"I08";"I08";"I08";"I08";"I09";"I09";"I09";"I09";"I09";"I10";"I10";"I10";"I10";"I10";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I13";"I13";"I13";"I13";"I13";"I14";"I14";"I14";"I14";"I14";"I14";"I16";"I16";"I16";"I16";"I16";"I17";"I17";"I17";"I17";"I17";"I18";"I18";"I18";"I18";"I18";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I33";"I33";"I33";"I33";"I33";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I41";"I41";"I41";"I41";"I41";"I42";"I42";"I42";"I42";"I42";"I43";"I43";"I43";"I43";"I43";"I44";"I44";"I44";"I44";"I44";"I45";"I45";"I45";"I45";"I45";"I48";"I48";"I48";"I49";"I49";"I49";"I49";"I49";"I51";"I51";"I51";"I51";"I51";"I52";"I52";"I52";"I52";"I52"
"Time";"Time";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10";"Lat";"Lon";"PM1";"PM2.5";"PM10"
"UTC";"Local";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³";"°";"°";"μg/m³";"μg/m³";"μg/m³"
2021-05-21 00:00:00;2021-05-21 02:00:00;51,4379;5,3582;4,78;7,80;20,73;;51,5108;5,3606;5,91;8,87;18,13;51,4915;5,4392;3,90;6,72;17,33;51,4024;5,3515;8,80;11,21;19,31;51,4569;5,4383;3,58;5,62;13,49;51,4466;5,4479;4,40;6,77;13,01;51,4422;5,4844;4,92;7,41;13,54;51,3706;5,1565;6,13;8,66;17,50;51,4454;5,4854;4,23;6,53;12,76;51,4416;5,4714;4,09;6,41;12,85;;;;;;51,4681;5,3901;4,02;6,55;14,87;;51,3467;5,3887;5,84;7,90;17,85;51,4137;5,4708;3,47;5,67;11,90;;;;;;51,4332;5,5197;4,51;6,81;15,57;51,4372;5,4233;5,50;8,25;15,84;51,4584;5,4050;5,51;8,51;16,44;51,4444;5,4788;4,57;6,96;13,36;51,4546;5,3887;5,23;8,00;14,03;;51,4492;5,4569;5,18;7,82;14,52;51,4350;5,4796;4,01;6,37;13,19;51,4374;5,4514;3,94;5,57;13,34;51,4797;5,4751;4,04;6,38;11,82;51,5295;5,4719;5,88;8,53;17,99;51,4384;5,4825;6,08;8,75;15,54;51,4687;5,4725;4,95;7,72;14,46;51,4389;5,4649;5,26;8,12;16,19;51,4527;5,4851;6,79;9,27;15,60;51,4320;5,6272;5,20;7,40;15,30;;;;;;51,5305;5,2846;7,04;10,51;24,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-22 00:00:00;2021-05-22 02:00:00;51,4379;5,3581;2,97;4,19;8,08;;51,5108;5,3607;5,24;6,38;10,76;51,4915;5,4392;2,62;3,71;8,34;51,4024;5,3514;7,72;8,89;13,07;51,4569;5,4384;2,69;3,58;7,62;51,4465;5,4485;3,21;4,38;7,77;51,4422;5,4844;3,40;4,56;7,91;51,3706;5,1565;4,63;5,69;9,56;51,4454;5,4854;3,49;4,63;7,72;51,4416;5,4714;3,09;4,29;7,62;;;;;;51,4681;5,3901;2,62;3,69;7,65;;51,3467;5,3887;4,70;5,73;9,69;51,4137;5,4707;2,56;3,57;6,87;;;;;;51,4332;5,5197;4,72;5,90;10,06;51,4372;5,4233;4,38;5,76;9,88;51,4584;5,4050;3,97;5,20;8,78;51,4444;5,4788;3,15;4,32;7,80;51,4546;5,3887;3,19;4,35;7,42;;51,4492;5,4569;3,52;4,70;8,09;51,4350;5,4796;2,50;3,61;7,05;51,4374;5,4513;3,41;4,21;8,25;51,4797;5,4751;2,31;3,29;6,39;51,5295;5,4719;4,65;5,60;9,05;51,4383;5,4824;5,10;6,44;9,81;51,4686;5,4724;3,50;4,76;8,36;51,4389;5,4649;3,51;4,78;8,04;51,4527;5,4851;4,75;5,96;9,14;51,4320;5,6272;4,49;5,62;9,74;;;;;;51,5304;5,2846;5,87;7,11;12,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-23 00:00:00;2021-05-23 02:00:00;51,4379;5,3582;3,99;5,75;12,05;;51,5108;5,3607;5,26;7,01;14,06;51,4915;5,4392;3,31;5,13;12,32;51,4025;5,3515;8,47;10,04;16,34;51,4569;5,4384;3,07;4,24;10,65;51,4464;5,4483;3,49;5,01;9,66;51,4422;5,4844;4,11;5,79;10,41;51,3706;5,1565;4,93;6,48;12,62;51,4454;5,4854;3,79;5,32;10,07;51,4416;5,4714;3,32;4,99;9,92;;;;;;51,4681;5,3901;3,35;4,93;10,86;;51,3467;5,3887;5,02;6,40;12,64;51,4137;5,4707;2,93;4,32;9,34;;;;;;51,4332;5,5198;3,75;5,36;11,96;51,4372;5,4233;4,43;6,21;12,92;51,4584;5,4050;4,79;6,51;12,24;51,4444;5,4788;3,69;5,26;10,26;51,4546;5,3887;3,92;5,77;10,62;;51,4491;5,4569;4,20;5,90;10,92;51,4350;5,4796;2,74;4,35;9,34;51,4373;5,4513;3,87;4,92;10,99;51,4797;5,4751;2,99;4,54;9,14;51,5295;5,4719;5,37;6,99;13,20;51,4387;5,4822;5,09;6,79;12,06;51,4686;5,4723;4,41;6,14;11,61;51,4390;5,4650;4,08;6,02;10,93;51,4528;5,4851;4,80;6,37;11,10;51,4320;5,6272;5,09;6,67;13,10;;;;;;51,5304;5,2846;6,92;8,90;18,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-24 00:00:00;2021-05-24 02:00:00;51,4379;5,3581;0,77;1,41;5,22;;51,5108;5,3606;3,08;3,83;7,96;51,4915;5,4392;1,13;1,83;5,92;51,4025;5,3515;6,12;6,77;10,21;51,4569;5,4383;1,38;1,88;5,77;51,4464;5,4483;1,45;2,13;5,33;51,4422;5,4844;1,64;2,31;5,31;51,3706;5,1565;3,46;4,09;7,60;51,4454;5,4854;1,53;2,15;5,25;51,4416;5,4714;1,34;2,02;5,34;;;;;;51,4681;5,3901;0,79;1,36;5,06;;51,3467;5,3888;3,30;3,83;7,11;51,4137;5,4708;1,18;1,76;5,01;;;;;;51,4331;5,5197;1,73;2,39;6,22;51,4372;5,4233;2,39;3,07;6,84;51,4584;5,4050;1,96;2,65;5,97;51,4444;5,4787;1,62;2,33;5,57;51,4546;5,3888;1,62;2,29;5,39;;51,4492;5,4569;1,38;2,09;5,51;;;0,86;1,54;5,08;51,4374;5,4514;1,66;2,12;5,82;51,4797;5,4751;0,82;1,45;4,52;51,5295;5,4719;2,65;3,26;6,66;51,4389;5,4821;2,35;3,03;6,17;51,4686;5,4723;1,20;1,90;5,32;51,4390;5,4650;2,01;2,85;6,65;51,4528;5,4850;2,03;2,71;5,92;51,4320;5,6272;2,99;3,64;7,54;;;;;;51,5304;5,2846;3,73;4,52;8,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-25 00:00:00;2021-05-25 02:00:00;51,4379;5,3582;2,57;3,97;9,11;;51,5108;5,3606;4,43;5,95;11,71;51,4915;5,4392;2,39;3,88;10,18;51,4025;5,3514;7,12;8,33;13,41;51,4569;5,4383;2,47;3,42;8,80;51,4465;5,4483;3,07;4,34;8,31;51,4422;5,4844;3,15;4,45;8,38;51,3706;5,1565;4,87;6,12;11,46;51,4454;5,4854;3,09;4,34;8,23;51,4416;5,4715;2,51;3,83;7,86;;;;;;51,4681;5,3901;2,26;3,42;8,12;;51,3467;5,3887;4,44;5,46;9,91;51,4137;5,4708;2,24;3,31;7,37;;;;;;51,4333;5,5199;3,26;4,52;9,93;51,4372;5,4233;3,83;5,26;10,38;51,4584;5,4050;3,70;5,16;10,03;51,4444;5,4787;2,85;4,12;8,26;51,4546;5,3887;3,13;4,57;8,65;;51,4492;5,4569;3,12;4,50;8,77;;;2,19;3,44;7,61;51,4374;5,4515;3,25;4,16;9,46;51,4797;5,4751;2,33;3,66;7,36;51,5295;5,4718;4,01;5,35;10,51;51,4388;5,4818;4,29;5,71;9,97;51,4686;5,4724;3,26;4,67;9,07;51,4390;5,4650;3,34;4,76;8,78;51,4528;5,4851;3,99;5,33;9,25;51,4320;5,6272;4,40;5,54;10,53;;;;;;51,5304;5,2846;5,16;6,78;14,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-26 00:00:00;2021-05-26 02:00:00;51,4379;5,3582;4,44;6,35;12,79;;51,5108;5,3606;5,27;7,21;13,47;51,4915;5,4392;3,07;5,01;12,18;51,4025;5,3514;9,02;10,69;17,00;51,4569;5,4383;3,12;4,42;11,01;51,4465;5,4482;3,83;5,48;10,07;51,4422;5,4844;4,18;5,96;10,84;51,3706;5,1565;5,56;7,15;13,41;51,4454;5,4854;3,97;5,60;10,22;51,4414;5,4715;3,46;5,18;9,93;;;;;;51,4681;5,3901;3,53;5,27;11,89;;51,3467;5,3887;6,15;7,60;13,72;51,4137;5,4708;3,42;4,89;9,58;;;;;;51,4331;5,5197;4,09;5,68;12,39;51,4372;5,4233;4,12;5,77;12,40;51,4584;5,4050;4,85;6,80;12,63;51,4444;5,4787;3,88;5,62;10,53;51,4546;5,3887;4,26;6,26;11,17;;51,4492;5,4569;4,63;6,51;11,53;;;3,06;4,91;10,26;51,4374;5,4516;4,20;5,30;11,45;51,4797;5,4751;2,92;4,67;9,06;51,5295;5,4719;5,08;6,82;12,85;51,4387;5,4817;5,21;7,06;12,13;51,4686;5,4724;4,24;6,12;11,82;51,4390;5,4650;4,32;6,40;11,23;51,4528;5,4851;5,31;7,16;12,19;51,4320;5,6272;6,08;7,89;15,01;;;;;;51,5304;5,2846;6,18;8,22;17,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-27 00:00:00;2021-05-27 02:00:00;51,4379;5,3581;7,30;10,52;19,01;;51,5108;5,3606;7,69;10,80;19,21;51,4915;5,4392;5,29;8,60;18,27;51,4025;5,3514;11,49;14,43;24,84;51,4568;5,4382;5,11;7,49;16,96;51,4465;5,4484;6,70;9,57;15,13;51,4422;5,4844;6,85;10,15;16,65;51,3707;5,1565;7,93;10,79;19,68;51,4454;5,4854;6,85;9,73;15,82;51,4416;5,4715;6,15;9,29;15,29;;;;;;51,4681;5,3901;5,90;8,74;15,94;;51,3467;5,3887;9,34;12,12;21,66;51,4137;5,4708;6,00;8,72;15,17;;;;;;51,4332;5,5197;6,05;8,86;18,18;51,4372;5,4233;6,12;8,87;18,67;51,4584;5,4050;7,48;10,73;18,34;51,4445;5,4787;7,00;10,05;17,05;51,4546;5,3888;7,09;10,69;17,13;;51,4492;5,4569;9,29;12,78;19,40;;;5,93;9,07;15,75;51,4374;5,4515;6,80;8,82;17,36;51,4797;5,4751;5,66;8,62;14,18;51,5295;5,4719;7,63;10,76;20,09;51,4386;5,4818;8,63;11,90;18,83;51,4686;5,4724;7,39;10,54;17,49;51,4390;5,4650;7,31;10,95;17,14;51,4528;5,4851;9,00;12,26;18,53;51,4320;5,6272;9,49;13,05;25,39;;;;;;51,5304;5,2846;7,64;10,73;21,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-28 00:00:00;2021-05-28 02:00:00;51,4379;5,3581;7,37;8,62;12,33;;51,5108;5,3606;7,45;8,38;12,13;51,4915;5,4392;5,21;6,33;10,95;51,4025;5,3515;11,64;12,67;16,76;51,4567;5,4383;4,86;5,67;9,70;51,4464;5,4484;6,44;7,51;11,04;51,4422;5,4844;6,34;7,36;10,74;51,3707;5,1565;7,34;8,13;11,77;51,4454;5,4854;6,27;7,28;10,76;51,4416;5,4714;5,84;6,99;10,85;;;;;;51,4681;5,3901;5,60;6,55;10,26;;51,3467;5,3887;8,29;9,12;12,96;51,4137;5,4708;5,72;6,66;9,88;;;;;;51,4332;5,5197;5,37;6,35;10,70;51,4372;5,4233;5,89;6,87;10,81;51,4584;5,4050;8,24;9,46;13,02;51,4445;5,4788;6,21;7,29;10,92;51,4546;5,3888;5,85;6,97;10,70;;51,4491;5,4569;7,37;8,44;12,03;;;4,83;6,04;9,78;51,4375;5,4517;7,20;8,09;12,01;51,4797;5,4751;4,52;5,43;8,53;51,5295;5,4719;7,13;8,05;11,83;51,4389;5,4816;7,60;8,83;12,59;51,4686;5,4725;6,96;8,08;11,44;51,4390;5,4650;6,30;7,56;11,72;51,4528;5,4851;7,89;9,02;12,48;51,4320;5,6272;8,06;9,14;13,51;;;;;;51,5304;5,2846;7,92;8,77;12,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
