;;"I01";"I01";"I01";"I01";"I01";"I01";"I02";"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I04";"I05";"I05";"I05";"I05";"I05";"I05";"I07";"I07";"I07";"I07";"I07";"I07";"I08";"I08";"I08";"I08";"I08";"I08";"I09";"I09";"I09";"I09";"I09";"I09";"I10";"I10";"I10";"I10";"I10";"I10";"I11";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I12";"I13";"I13";"I13";"I13";"I13";"I13";"I14";"I14";"I14";"I14";"I14";"I14";"I14";"I16";"I16";"I16";"I16";"I16";"I16";"I17";"I17";"I17";"I17";"I17";"I17";"I18";"I18";"I18";"I18";"I18";"I18";"I19";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I32";"I33";"I33";"I33";"I33";"I33";"I33";"I36";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I40";"I41";"I41";"I41";"I41";"I41";"I41";"I42";"I42";"I42";"I42";"I42";"I42";"I43";"I43";"I43";"I43";"I43";"I43";"I44";"I44";"I44";"I44";"I44";"I44";"I45";"I45";"I45";"I45";"I45";"I45";"I46";"I46";"I46";"I46";"I46";"I46";"I47";"I47";"I47";"I47";"I47";"I47";"I48";"I48";"I48";"I48";"I48";"I48";"I49";"I49";"I49";"I49";"I49";"I49";"I50";"I50";"I50";"I50";"I50";"I50";"I51";"I51";"I51";"I51";"I51";"I51";"I52";"I52";"I52";"I52";"I52";"I52";"I55";"I55";"I55";"I55";"I55";"I55";"I56";"I56";"I56";"I56";"I56";"I56";"I58";"I58";"I58";"I58";"I58";"I58"
"Time";"Time";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2"
"UTC";"Local";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
"
2022-05-06 00:00:00;2022-05-06 02:00:00;;;;;;;51,4379;5,3582;24,71;27,68;31,38;16290;22;51,5108;5,3606;17,38;18,94;22,60;24;51,4915;5,4392;15,85;17,60;21,04;39;51,4024;5,3515;27,55;30,42;33,76;11;51,4569;5,4384;15,86;17,95;21,08;21;51,4464;5,4483;17,79;19,48;23,80;29;51,4422;5,4844;21,84;24,17;27,98;22;51,3707;5,1565;22,11;24,02;27,04;1;51,4454;5,4854;19,10;23,47;29,63;22;51,4415;5,4713;15,66;18,07;21,72;16;51,4815;5,5199;19,37;21,57;24,19;6;51,4681;5,3902;19,55;21,20;23,60;17087;28;51,3469;5,3887;24,78;27,75;31,67;3;51,4136;5,4707;20,17;25,12;30,80;14;51,5697;5,3113;16,95;18,37;20,82;10;51,4332;5,5197;17,37;19,73;23,85;21;51,4372;5,4233;18,57;20,86;25,52;24;51,4583;5,4050;15,82;18,56;22,71;23;51,4444;5,4788;17,90;21,29;27,55;25;51,4546;5,3887;22,41;24,20;26,62;17923;25;51,4492;5,4570;22,97;25,15;27,66;27;51,4351;5,4799;17,79;20,26;24,65;18;51,4374;5,4515;18,08;20,46;23,61;21;51,4797;5,4751;19,66;22,94;27,47;25;51,5295;5,4718;19,17;20,65;23,58;23;51,4384;5,4817;26,72;30,01;33,78;38;51,4686;5,4722;20,14;23,40;28,06;25;51,4389;5,4650;22,40;24,30;27,61;38;51,4527;5,4852;19,12;23,41;31,21;26;51,4320;5,6272;23,83;27,70;33,50;5;51,5923;5,7812;25,10;27,66;32,03;3;;;21,41;23,83;29,25;5;51,3565;5,6360;17,89;20,21;29,70;13;51,5836;5,5479;19,81;23,18;26,96;17;51,5092;5,3781;19,80;21,44;24,62;20;51,4768;5,2616;17,15;18,81;22,13;15;51,4660;5,6785;23,45;26,79;31,53;15;51,4736;5,6530;21,33;24,42;26,98;27;51,3770;5,7724;20,97;23,61;25,70;21;51,4692;5,6348;19,85;22,36;25,29;10;51,4778;5,6568;19,19;22,71;25,74;23;51,3072;5,4218;21,69;25,42;30,38;22;51,4165;5,1265;19,50;20,92;22,30;15;51,4903;5,3941;20,69;22,63;25,24;8
2022-05-07 00:00:00;2022-05-07 02:00:00;;;;;;;51,4379;5,3582;21,09;23,93;29,33;16658;29;51,5108;5,3606;14,28;16,30;22,72;26;51,4915;5,4392;12,21;14,24;19,98;33;51,4024;5,3515;25,25;27,91;34,23;9;51,4569;5,4384;13,22;14,98;20,17;23;51,4463;5,4483;14,34;15,89;22,12;25;51,4422;5,4844;17,79;20,08;25,51;31;51,3707;5,1565;17,88;20,05;27,40;1;51,4454;5,4854;17,03;19,96;27,20;32;51,4416;5,4712;12,76;15,03;19,88;19;51,4815;5,5199;15,87;17,90;22,33;6;51,4681;5,3902;16,10;18,10;23,42;18325;32;51,3469;5,3887;20,65;22,98;29,20;2;51,4136;5,4707;17,90;21,41;28,90;21;51,5696;5,3113;12,98;14,48;20,22;8;51,4331;5,5197;14,44;16,52;22,34;27;51,4372;5,4233;15,05;17,29;25,36;25;51,4583;5,4050;13,13;15,46;22,75;28;51,4444;5,4788;15,06;17,77;27,10;30;51,4546;5,3887;17,71;20,03;25,09;20131;32;51,4492;5,4569;19,71;21,84;26,65;47;51,4351;5,4798;14,69;17,05;23,31;30;51,4375;5,4516;14,80;16,92;21,47;25;51,4797;5,4751;15,92;18,36;25,54;26;51,5295;5,4718;17,11;19,05;24,67;16;51,4387;5,4820;21,59;24,35;29,94;43;51,4686;5,4722;17,65;19,97;27,67;34;51,4389;5,4650;17,09;19,27;25,31;42;51,4527;5,4851;16,22;19,36;28,24;25;51,4320;5,6272;21,71;24,58;31,03;4;51,5923;5,7812;23,26;25,91;33,83;1;;;16,63;19,06;28,09;3;51,3565;5,6358;15,27;17,19;25,87;13;51,5836;5,5479;16,01;18,63;23,64;14;51,5092;5,3781;17,48;19,15;24,35;17;51,4769;5,2616;13,48;15,59;19,86;10;51,4659;5,6785;19,90;22,49;28,24;12;51,4736;5,6530;18,66;21,03;25,27;27;51,3769;5,7724;17,58;19,67;23,67;14;51,4692;5,6347;16,76;18,95;23,44;9;51,4779;5,6568;15,78;18,33;22,42;21;51,3072;5,4218;18,08;20,55;25,46;15;51,4165;5,1266;17,88;20,09;24,70;9;51,4903;5,3941;16,84;19,28;24,49;8
2022-05-08 00:00:00;2022-05-08 02:00:00;;;;;;;51,4379;5,3582;7,47;10,86;19,22;18186;48;51,5108;5,3606;6,06;9,32;18,73;22;51,4915;5,4392;4,84;7,83;17,58;36;51,4024;5,3515;11,36;14,41;22,85;7;51,4568;5,4383;4,92;7,44;16,21;20;51,4464;5,4484;7,70;10,61;19,74;12;51,4422;5,4844;6,41;9,64;16,30;26;51,3707;5,1565;7,39;10,11;18,30;1;51,4454;5,4854;6,87;9,76;18,90;33;51,4415;5,4712;5,25;8,65;16,34;13;51,4815;5,5199;6,04;9,49;17,22;4;51,4681;5,3902;5,37;8,29;15,76;14770;56;51,3469;5,3887;9,07;11,75;20,52;2;51,4136;5,4707;7,09;10,12;19,17;27;51,5696;5,3114;6,01;8,63;17,61;6;51,4332;5,5198;5,36;7,99;16,87;30;51,4372;5,4233;6,41;9,93;22,98;11;51,4583;5,4050;5,15;8,49;19,60;34;51,4444;5,4788;4,68;8,10;21,17;22;51,4546;5,3887;7,06;10,58;17,26;16792;41;51,4492;5,4569;7,64;10,87;17,54;47;51,4351;5,4798;6,14;9,53;19,38;27;51,4375;5,4516;5,22;8,02;14,53;18;51,4797;5,4751;6,94;10,39;22,54;21;51,5295;5,4718;7,40;10,36;19,26;17;51,4387;5,4821;8,29;11,73;19,38;40;51,4686;5,4722;7,33;10,37;20,86;29;51,4388;5,4650;6,51;9,54;15,62;46;51,4528;5,4852;6,31;9,38;20,78;17;51,4320;5,6272;8,51;11,69;23,38;2;51,5923;5,7812;9,12;13,13;26,03;1;;;7,58;11,04;24,25;2;51,3565;5,6359;6,96;9,59;20,72;6;51,5836;5,5479;5,25;8,56;15,49;9;51,5092;5,3781;8,18;10,53;18,42;9;51,4769;5,2616;5,37;8,54;14,50;7;51,4660;5,6785;6,58;10,03;19,00;6;51,4736;5,6530;7,51;10,40;15,56;17;51,3769;5,7723;5,92;8,22;13,29;6;51,4692;5,6349;5,75;8,80;15,16;7;51,4782;5,6568;5,50;8,41;13,89;10;51,3072;5,4218;5,92;8,27;13,82;15;51,4165;5,1265;6,64;9,61;15,40;6;51,4903;5,3941;6,61;9,93;16,91;6
2022-05-09 00:00:00;2022-05-09 02:00:00;;;;;;;51,4379;5,3581;9,25;11,62;18,99;18202;52;51,5108;5,3606;6,42;9,02;20,11;37;51,4915;5,4392;4,79;6,95;14,85;55;51,4024;5,3515;12,69;14,72;21,74;12;51,4569;5,4384;4,70;6,40;13,57;30;51,4464;5,4485;6,51;8,38;16,20;44;51,4422;5,4844;6,55;9,05;15,11;35;51,3707;5,1565;8,39;10,44;17,76;1;51,4454;5,4854;7,41;9,50;17,38;49;51,4416;5,4713;4,86;7,47;14,49;18;51,4815;5,5199;5,24;7,15;12,26;8;51,4681;5,3902;5,30;7,33;15,17;23699;67;51,3469;5,3887;8,84;10,76;18,59;3;51,4136;5,4707;7,65;9,92;18,37;38;51,5696;5,3114;5,92;7,70;15,72;12;51,4332;5,5198;5,65;7,70;15,99;49;51,4372;5,4233;6,88;9,34;19,90;32;51,4583;5,4050;4,94;7,24;16,03;61;51,4444;5,4788;4,80;7,55;21,20;43;51,4546;5,3887;6,07;8,51;14,29;18072;43;51,4492;5,4569;7,48;9,76;16,25;64;51,4351;5,4798;5,32;7,77;17,46;35;51,4375;5,4516;5,47;7,66;13,70;38;51,4797;5,4751;6,56;8,73;17,34;34;51,5295;5,4718;6,99;8,90;16,47;35;51,4386;5,4818;7,64;10,18;17,11;45;51,4686;5,4722;8,69;10,77;19,81;44;51,4390;5,4650;6,45;8,85;15,02;76;51,4528;5,4852;6,92;9,25;19,64;48;51,4320;5,6272;9,16;11,49;20,45;5;51,5923;5,7812;9,55;12,46;25,35;2;;;7,60;9,94;20,92;8;51,3564;5,6358;5,98;7,68;16,57;14;51,5836;5,5479;6,57;9,37;16,52;29;51,5092;5,3781;8,97;10,69;17,95;29;51,4769;5,2616;5,54;7,56;12,32;17;51,4660;5,6785;6,56;9,15;16,87;18;51,4736;5,6530;7,67;9,89;15,16;35;51,3769;5,7723;6,18;7,95;12,84;22;51,4693;5,6349;5,99;8,29;14,18;12;51,4779;5,6568;5,72;7,88;12,82;49;51,3072;5,4218;6,07;8,16;14,79;26;51,4165;5,1265;7,03;8,98;13,92;12;51,4903;5,3941;6,52;8,89;14,94;10
2022-05-10 00:00:00;2022-05-10 02:00:00;;;;;;;51,4379;5,3582;11,72;13,49;20,66;15299;42;51,5107;5,3606;7,78;9,57;17,72;30;51,4915;5,4391;6,17;7,71;17,06;45;51,4024;5,3514;14,58;16,04;21,94;11;51,4568;5,4382;5,97;7,17;13,25;26;51,4465;5,4484;6,80;7,98;14,74;34;51,4422;5,4844;8,42;10,13;16,93;32;51,3707;5,1565;9,50;11,00;17,63;3;51,4454;5,4854;12,66;14,24;20,64;45;51,4414;5,4713;5,83;7,58;15,02;14;51,4815;5,5199;6,67;8,00;13,48;7;51,4681;5,3902;7,30;8,80;16,65;17112;51;51,3469;5,3887;10,07;11,33;18,79;5;51,4136;5,4707;9,55;11,18;17,63;27;51,5696;5,3114;7,51;8,81;17,62;11;51,4332;5,5197;6,94;8,52;16,25;42;51,4372;5,4233;7,49;9,15;18,04;33;51,4583;5,4050;6,41;8,08;16,22;41;51,4444;5,4788;5,70;7,59;21,25;41;51,4546;5,3887;7,69;9,41;15,29;16308;34;51,4492;5,4569;10,08;12,04;19,20;47;51,4351;5,4797;6,36;7,91;15,59;22;51,4375;5,4515;6,88;8,47;14,91;30;51,4797;5,4751;8,08;9,60;16,77;33;51,5295;5,4718;9,02;10,47;18,73;24;51,4395;5,4817;9,25;11,05;17,55;32;51,4686;5,4723;10,26;11,84;20,50;39;51,4390;5,4650;7,49;9,51;20,74;52;51,4527;5,4851;8,79;10,76;21,89;40;51,4320;5,6272;11,24;12,97;20,49;9;51,5923;5,7812;12,16;14,25;27,70;4;51,5305;5,2845;9,71;11,49;22,76;11;51,3564;5,6357;7,39;8,85;20,51;17;51,5836;5,5480;8,56;10,49;18,27;29;51,5092;5,3781;10,97;12,42;19,37;23;51,4769;5,2616;7,64;9,54;15,40;15;51,4660;5,6785;8,54;10,53;20,60;20;51,4735;5,6531;8,97;10,59;15,35;27;51,3769;5,7723;7,46;8,88;14,64;15;51,4692;5,6348;7,19;8,66;13,54;14;51,4777;5,6568;7,14;8,80;13,54;39;51,3071;5,4218;7,62;9,17;17,00;17;51,4165;5,1265;9,27;10,82;16,73;15;51,4903;5,3941;7,81;9,48;15,46;14
2022-05-11 00:00:00;2022-05-11 02:00:00;;;;;;;51,4379;5,3582;4,67;6,29;14,24;13775;24;51,5108;5,3606;3,47;5,22;15,67;21;51,4915;5,4392;2,57;4,27;14,61;35;51,4025;5,3514;8,62;10,07;16,92;8;51,4567;5,4381;2,49;3,63;11,06;20;51,4465;5,4482;3,22;4,34;10,76;26;51,4422;5,4844;4,23;6,00;13,74;25;51,3707;5,1565;4,47;5,75;12,43;6;51,4454;5,4854;6,61;7,92;13,92;37;51,4413;5,4714;2,89;4,64;12,15;12;51,4815;5,5199;2,22;3,65;9,95;5;51,4681;5,3902;2,83;4,32;13,20;13967;32;51,3468;5,3887;5,07;6,29;14,17;6;51,4136;5,4707;5,04;6,46;13,14;25;51,5696;5,3114;3,71;5,03;13,56;8;51,4332;5,5198;3,08;4,50;12,79;33;51,4372;5,4233;3,35;4,99;15,04;17;51,4583;5,4050;2,18;3,64;12,32;33;51,4444;5,4788;1,03;2,84;16,51;31;51,4546;5,3887;3,13;4,79;10,93;13198;18;51,4492;5,4569;4,02;5,76;13,28;29;51,4351;5,4798;3,09;4,66;12,90;15;51,4375;5,4516;2,89;4,53;12,10;20;51,4797;5,4751;3,95;5,38;12,80;26;51,5295;5,4719;4,36;5,90;14,18;14;51,4386;5,4817;4,45;6,18;13,69;22;51,4686;5,4723;4,75;6,18;15,59;31;51,4390;5,4650;3,58;5,62;16,00;52;51,4528;5,4852;4,09;5,69;16,07;32;51,4320;5,6272;5,74;7,34;15,59;9;51,5923;5,7812;5,77;7,64;22,55;5;51,5305;5,2846;4,61;6,18;18,30;10;51,3564;5,6360;3,76;5,13;17,45;9;51,5835;5,5480;2,92;4,70;13,56;19;51,5092;5,3781;6,05;7,28;13,71;17;51,4769;5,2616;3,87;6,26;14,74;12;51,4660;5,6785;3,54;5,31;14,57;26;51,4735;5,6531;3,59;4,99;10,57;18;51,3769;5,7723;3,08;4,39;10,54;7;51,4692;5,6347;2,57;3,78;8,97;18;51,4778;5,6568;2,76;4,21;9,94;26;51,3071;5,4218;3,24;4,69;13,15;11;51,4165;5,1265;3,47;5,08;11,39;11;51,4904;5,3941;3,10;4,58;10,36;17
2022-05-12 00:00:00;2022-05-12 02:00:00;;;;;;;51,4379;5,3581;8,20;10,83;18,44;14208;21;51,5108;5,3606;5,32;7,76;16,77;26;51,4915;5,4392;4,67;7,02;15,50;30;51,4024;5,3514;12,21;14,41;21,45;10;51,4570;5,4385;4,77;6,48;13,75;24;51,4465;5,4482;5,26;6,93;13,68;28;51,4421;5,4844;7,33;10,04;16,76;23;51,3706;5,1565;8,22;10,05;15,70;9;51,4454;5,4854;7,46;9,56;16,75;27;51,4415;5,4713;5,22;7,85;14,01;16;51,4815;5,5199;5,28;7,52;12,68;5;51,4681;5,3902;5,46;7,53;14,16;13539;33;51,3468;5,3887;9,46;11,34;17,99;8;51,4136;5,4707;8,33;10,69;18,74;19;51,5696;5,3114;4,87;6,36;12,64;9;51,4333;5,5199;5,95;8,16;16,66;26;51,4372;5,4233;6,39;8,95;18,93;17;51,4585;5,4050;4,64;6,88;15,94;24;51,4445;5,4787;5,16;8,01;20,84;20;51,4546;5,3887;6,19;8,80;14,78;14212;21;51,4492;5,4569;7,92;10,47;16,53;29;51,4351;5,4799;5,75;8,31;16,51;18;51,4375;5,4517;5,70;7,81;13,06;21;51,4797;5,4751;6,16;8,29;16,71;20;51,5295;5,4719;6,58;8,75;16,40;13;51,4385;5,4815;8,76;11,42;17,82;26;51,4686;5,4722;7,54;9,86;19,06;23;51,4390;5,4650;6,59;9,10;15,06;45;51,4527;5,4851;7,09;9,57;19,68;28;51,4320;5,6272;8,34;10,51;18,12;12;51,5923;5,7812;7,50;9,98;24,22;7;51,5305;5,2846;6,23;8,20;17,70;14;51,3564;5,6359;5,87;7,61;18,50;10;51,5835;5,5480;4,53;6,92;14,31;21;51,5092;5,3781;7,79;9,51;15,79;16;51,4769;5,2616;5,65;8,73;16,18;13;51,4660;5,6785;5,80;7,98;14,50;26;51,4735;5,6531;6,21;8,17;13,02;22;51,3769;5,7723;6,15;8,16;13,68;10;51,4693;5,6347;4,79;6,53;11,00;20;51,4778;5,6568;4,79;7,00;12,59;25;51,3072;5,4218;6,92;9,26;16,08;16;51,4165;5,1265;7,07;9,35;15,10;14;51,4904;5,3941;5,17;6,97;11,54;19
2022-05-13 00:00:00;2022-05-13 02:00:00;;;;;;;51,4379;5,3582;5,69;8,51;18,83;13632;28;51,5108;5,3606;5,07;8,18;21,24;29;51,4915;5,4392;3,89;6,73;18,62;36;51,4024;5,3515;9,27;11,72;21,07;9;51,4570;5,4384;3,49;5,46;14,43;27;51,4464;5,4485;4,15;6,12;14,08;28;51,4421;5,4844;5,89;9,09;17,82;27;51,3706;5,1565;5,54;7,48;14,66;9;51,4454;5,4854;5,58;7,86;17,11;36;51,4415;5,4713;4,08;7,08;15,48;17;51,4815;5,5200;3,77;6,33;13,20;6;51,4681;5,3902;4,31;6,94;16,41;13201;39;51,3468;5,3887;5,88;7,77;15,94;7;51,4136;5,4707;5,91;8,38;18,04;24;51,5696;5,3114;4,86;7,03;16,50;11;51,4332;5,5198;4,43;6,99;18,10;37;51,4372;5,4233;5,01;7,81;21,28;18;51,4585;5,4050;3,60;6,29;18,63;31;51,4445;5,4787;3,72;6,96;24,59;26;51,4546;5,3887;4,93;8,02;15,74;15075;25;51,4492;5,4569;5,50;8,28;16,17;41;51,4352;5,4798;4,55;7,42;18,45;24;51,4375;5,4518;4,00;6,28;12,89;20;51,4797;5,4751;4,92;7,40;18,07;25;51,5295;5,4719;6,00;8,75;19,29;18;51,4383;5,4817;7,08;10,11;18,39;33;51,4686;5,4722;6,00;8,67;20,50;26;51,4390;5,4650;5,23;8,31;17,31;41;51,4528;5,4852;5,80;8,92;26,34;30;51,4320;5,6272;6,75;9,45;20,08;16;51,5923;5,7813;7,52;10,72;30,01;9;51,5305;5,2846;5,75;8,25;21,02;15;51,3564;5,6359;4,23;6,17;18,87;10;51,5835;5,5480;4,15;7,06;17,03;30;51,5092;5,3781;7,21;9,22;17,25;16;51,4769;5,2616;4,85;8,37;17,35;12;51,4660;5,6786;5,03;8,01;18,11;29;51,4735;5,6531;5,51;7,98;14,67;23;51,3769;5,7724;3,56;5,73;12,32;8;51,4693;5,6347;3,83;5,88;11,52;24;51,4779;5,6567;4,16;6,76;13,83;25;51,3071;5,4218;3,74;6,05;15,71;15;51,4165;5,1266;5,24;8,04;15,44;13;51,4904;5,3941;4,41;6,59;12,61;21
