;;"I01";"I01";"I01";"I01";"I01";"I01";"I02";"I02";"I02";"I02";"I02";"I02";"I02";"I03";"I03";"I03";"I03";"I03";"I03";"I04";"I04";"I04";"I04";"I04";"I04";"I05";"I05";"I05";"I05";"I05";"I05";"I06";"I06";"I06";"I06";"I06";"I06";"I07";"I07";"I07";"I07";"I07";"I07";"I08";"I08";"I08";"I08";"I08";"I08";"I09";"I09";"I09";"I09";"I09";"I09";"I10";"I10";"I10";"I10";"I10";"I10";"I11";"I11";"I11";"I11";"I11";"I11";"I12";"I12";"I12";"I12";"I12";"I12";"I13";"I13";"I13";"I13";"I13";"I13";"I14";"I14";"I14";"I14";"I14";"I14";"I14";"I16";"I16";"I16";"I16";"I16";"I16";"I17";"I17";"I17";"I17";"I17";"I17";"I18";"I18";"I18";"I18";"I18";"I18";"I19";"I19";"I19";"I19";"I19";"I19";"I22";"I22";"I22";"I22";"I22";"I22";"I23";"I23";"I23";"I23";"I23";"I23";"I24";"I24";"I24";"I24";"I24";"I24";"I25";"I25";"I25";"I25";"I25";"I25";"I25";"I28";"I28";"I28";"I28";"I28";"I28";"I29";"I29";"I29";"I29";"I29";"I29";"I30";"I30";"I30";"I30";"I30";"I30";"I32";"I32";"I32";"I32";"I32";"I32";"I33";"I33";"I33";"I33";"I33";"I33";"I36";"I36";"I36";"I36";"I36";"I36";"I37";"I37";"I37";"I37";"I37";"I37";"I39";"I39";"I39";"I39";"I39";"I39";"I40";"I40";"I40";"I40";"I40";"I40";"I41";"I41";"I41";"I41";"I41";"I41";"I42";"I42";"I42";"I42";"I42";"I42";"I43";"I43";"I43";"I43";"I43";"I43";"I44";"I44";"I44";"I44";"I44";"I44";"I45";"I45";"I45";"I45";"I45";"I45";"I46";"I46";"I46";"I46";"I46";"I46";"I47";"I47";"I47";"I47";"I47";"I47";"I48";"I48";"I48";"I48";"I48";"I48";"I49";"I49";"I49";"I49";"I49";"I49";"I50";"I50";"I50";"I50";"I50";"I50";"I51";"I51";"I51";"I51";"I51";"I51";"I52";"I52";"I52";"I52";"I52";"I52";"I55";"I55";"I55";"I55";"I55";"I55";"I56";"I56";"I56";"I56";"I56";"I56";"I58";"I58";"I58";"I58";"I58";"I58";"I59";"I59";"I59";"I59";"I59";"I59"
"Time";"Time";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"UFP";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2";"Lat";"Lon";"PM1";"PM2.5";"PM10";"NO2"
"UTC";"Local";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"counts/cm³
";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
";"°";"°";"μg/m³";"μg/m³";"μg/m³";"μg/m³
"
2024-01-26 00:00:00;2024-01-26 01:00:00;51,4062;5,4574;4,67;7,24;15,69;8;51,4379;5,3582;6,49;7,66;13,95;7782;3;51,5107;5,3606;5,99;9,25;17,69;16;51,4915;5,4391;3,89;6,20;13,36;20;51,4025;5,3514;5,14;7,62;14,81;9;51,4053;5,4582;5,02;7,34;14,50;23;51,4569;5,4384;3,73;5,55;11,08;21;51,4465;5,4482;5,80;8,57;15,81;29;51,4422;5,4844;6,21;9,02;16,47;29;;;;;;;51,4454;5,4853;7,69;10,37;17,43;40;51,4414;5,4714;5,80;9,13;19,67;13;51,4815;5,5200;4,84;7,76;15,66;14;51,4681;5,3901;6,61;7,74;14,05;8827;12;51,3467;5,3887;4,73;6,88;12,80;9;51,4136;5,4707;5,07;7,64;14,51;17;51,5696;5,3113;4,37;6,73;13,30;8;51,4332;5,5195;5,78;8,48;15,67;26;51,4372;5,4233;4,87;7,41;14,54;20;51,4584;5,4050;5,75;8,33;15,75;31;51,4445;5,4788;7,68;10,78;20,66;12;51,4546;5,3887;6,96;9,06;14,66;11190;25;;;11,96;16,04;26,44;37;51,4351;5,4798;5,71;8,51;15,50;26;51,4374;5,4515;7,49;9,61;15,62;17;51,4797;5,4751;5,28;7,38;12,89;16;51,5295;5,4718;7,11;9,67;16,60;6;51,4385;5,4813;7,22;10,66;18,24;34;51,4687;5,4720;5,70;8,85;16,28;10;51,4390;5,4649;5,10;7,62;14,46;21;51,4527;5,4852;5,16;7,62;13,61;21;51,4320;5,6272;5,36;7,75;13,71;11;51,5923;5,7813;5,36;8,52;17,23;4;51,5305;5,2846;8,41;10,29;16,10;13;51,3565;5,6359;4,65;6,96;12,71;7;51,5835;5,5479;5,94;8,46;16,90;8;51,5092;5,3781;6,14;8,62;15,03;18;51,4769;5,2617;6,81;9,58;17,13;5;;;;;;;51,4735;5,6530;6,20;8,75;15,84;13;51,3769;5,7724;6,10;8,18;12,31;5;51,4692;5,6347;6,07;8,39;14,08;14;51,4780;5,6568;5,93;8,71;15,53;19;51,3072;5,4218;4,80;7,18;13,73;13;51,4165;5,1265;5,80;7,99;14,57;18;51,4905;5,3941;4,75;6,91;12,73;19;;;;;;
2024-01-27 00:00:00;2024-01-27 01:00:00;51,4062;5,4574;10,08;14,88;28,09;18;51,4379;5,3582;12,91;14,94;25,47;21313;8;51,5108;5,3607;11,08;15,42;25,32;48;51,4915;5,4391;12,06;16,21;25,48;36;51,4024;5,3514;10,01;13,77;22,56;21;51,4052;5,4582;12,19;16,78;27,19;32;51,4568;5,4383;8,05;10,96;17,50;44;51,4465;5,4483;12,08;17,08;28,35;56;51,4422;5,4844;12,28;16,83;27,53;59;;;;;;;51,4454;5,4853;13,59;18,21;29,00;25;51,4414;5,4712;11,35;17,09;32,04;27;51,4815;5,5199;10,29;14,93;24,53;32;51,4681;5,3901;11,76;13,62;22,89;23153;25;51,3467;5,3887;10,59;14,48;23,32;19;51,4136;5,4707;11,09;15,66;26,28;48;51,5696;5,3114;9,90;13,88;23,17;22;51,4331;5,5197;11,21;15,79;26,64;44;51,4372;5,4233;9,87;13,91;23,18;55;51,4584;5,4050;10,42;14,96;26,44;17;51,4445;5,4787;13,86;19,33;36,09;20;51,4546;5,3887;11,36;14,82;22,61;22444;46;;;17,17;23,40;38,26;73;51,4351;5,4798;11,61;16,45;26,84;55;51,4375;5,4516;12,34;16,17;25,76;38;51,4797;5,4751;11,29;15,11;23,37;44;51,5295;5,4718;15,52;20,72;32,69;18;51,4386;5,4815;13,73;19,66;31,21;56;51,4687;5,4720;11,46;16,84;26,95;25;51,4390;5,4649;10,83;15,19;25,37;40;51,4527;5,4852;10,71;14,96;24,21;44;51,4320;5,6272;9,66;13,08;21,35;26;51,5923;5,7813;8,87;14,32;28,97;13;51,5305;5,2846;13,80;16,76;24,26;27;51,3565;5,6359;9,26;13,04;20,88;12;51,5835;5,5479;10,33;14,39;26,99;24;51,5092;5,3781;14,06;18,43;27,98;43;51,4769;5,2617;13,84;18,77;30,42;13;;;;;;;51,4735;5,6530;10,80;15,19;25,06;32;51,3769;5,7723;11,09;14,93;20,67;12;51,4692;5,6348;12,28;16,41;24,87;33;51,4781;5,6568;10,68;15,40;25,48;40;51,3072;5,4218;9,44;13,36;21,99;28;51,4165;5,1266;9,78;13,37;21,83;40;51,4905;5,3941;10,01;13,42;21,15;37;;;;;;
2024-01-28 00:00:00;2024-01-28 01:00:00;51,4062;5,4574;8,64;11,43;20,36;16;51,4379;5,3582;10,52;11,61;18,67;22430;7;51,5108;5,3607;8,54;11,09;17,79;39;51,4915;5,4391;8,05;10,51;16,54;31;51,4024;5,3514;8,63;11,06;17,23;19;51,4052;5,4582;9,19;11,57;18,52;35;51,4567;5,4382;7,79;9,94;15,45;41;51,4465;5,4482;8,71;11,61;19,51;34;51,4422;5,4844;8,48;10,88;17,82;43;;;;;;;51,4454;5,4853;11,56;14,35;21,68;26;51,4413;5,4714;9,37;12,82;22,42;26;51,4815;5,5199;7,66;10,15;17,11;27;51,4681;5,3901;9,81;10,80;17,06;19925;23;51,3467;5,3887;8,72;10,94;16,94;18;51,4136;5,4707;7,08;9,73;17,18;40;51,5696;5,3113;8,04;10,46;16,95;20;51,4332;5,5196;7,39;9,83;16,87;24;51,4372;5,4233;7,80;10,12;17,19;50;51,4584;5,4050;8,66;11,33;19,25;21;51,4444;5,4788;10,90;13,89;23,69;19;51,4545;5,3888;9,73;11,74;17,44;21968;41;;;13,64;17,03;26,31;70;51,4351;5,4798;8,09;10,84;18,00;47;51,4375;5,4517;10,23;12,32;18,98;30;51,4797;5,4751;8,97;11,22;17,18;38;51,5295;5,4718;12,07;14,87;22,70;15;51,4389;5,4816;9,05;12,30;20,39;47;51,4687;5,4720;7,82;10,65;17,76;21;51,4390;5,4649;8,86;11,68;19,12;35;51,4527;5,4852;8,32;10,79;17,39;38;51,4320;5,6272;6,92;8,86;14,55;26;51,5923;5,7813;7,17;10,59;20,31;13;51,5305;5,2846;10,30;11,72;16,15;21;51,3565;5,6359;7,11;9,67;16,51;14;51,5835;5,5479;8,29;10,87;20,00;22;51,5092;5,3781;9,77;12,51;19,84;39;51,4769;5,2617;11,17;14,04;21,56;12;;;;;;;51,4736;5,6531;8,12;10,82;18,07;33;51,3769;5,7723;7,93;10,47;15,50;15;51,4693;5,6348;9,90;12,54;19,09;29;51,4781;5,6569;7,83;10,73;18,35;37;51,3072;5,4218;8,28;10,63;16,54;24;51,4165;5,1266;8,70;10,58;15,78;38;51,4905;5,3941;7,55;9,50;15,22;41;;;;;;
2024-01-29 00:00:00;2024-01-29 01:00:00;51,4062;5,4574;8,14;9,65;15,23;15;51,4379;5,3582;11,10;11,64;16,14;16879;5;51,5107;5,3606;9,38;10,84;15,69;25;51,4915;5,4391;7,92;9,26;13,40;28;51,4024;5,3514;8,75;10,11;14,31;16;51,4052;5,4582;9,46;10,98;15,69;29;51,4566;5,4382;8,22;9,82;14,03;37;51,4465;5,4483;8,97;10,70;16,38;37;51,4423;5,4844;7,49;8,66;12,85;37;;;;;;;51,4454;5,4853;12,05;13,69;19,09;26;51,4413;5,4714;10,28;12,28;19,15;21;51,4815;5,5199;8,84;10,33;14,99;26;51,4681;5,3901;11,20;11,73;16,06;22666;20;51,3467;5,3887;8,04;9,24;13,25;12;51,4136;5,4707;7,61;8,90;13,43;37;51,5696;5,3113;9,80;11,27;16,12;12;51,4333;5,5198;8,50;10,08;15,26;29;51,4372;5,4233;8,04;9,38;13,52;50;51,4584;5,4050;9,94;11,50;16,89;17;51,4444;5,4787;11,40;13,07;19,19;21;51,4546;5,3886;11,18;12,44;16,46;16960;27;;;10,28;11,87;17,57;48;51,4351;5,4798;8,23;9,61;14,02;49;51,4375;5,4517;11,45;12,65;17,17;32;51,4797;5,4751;9,24;10,59;14,78;27;51,5295;5,4718;11,87;13,47;18,88;16;51,4385;5,4820;6,98;8,42;12,89;31;51,4687;5,4720;7,44;8,92;13,34;19;51,4390;5,4649;9,03;10,62;15,58;31;51,4527;5,4852;8,98;10,46;15,12;38;51,4320;5,6272;7,30;8,38;12,55;25;51,5923;5,7812;7,56;9,13;15,21;2;51,5305;5,2846;10,86;11,80;15,53;16;51,3564;5,6359;8,14;9,52;14,09;12;51,5835;5,5479;9,19;10,52;15,93;17;51,5092;5,3781;10,56;12,00;16,98;41;51,4769;5,2617;11,02;12,56;17,60;11;;;;;;;51,4736;5,6531;10,67;12,32;17,49;29;51,3769;5,7723;8,50;9,69;13,26;14;51,4693;5,6349;10,70;12,24;16,81;30;51,4775;5,6568;8,80;10,30;15,24;37;51,3072;5,4218;7,23;8,59;12,75;22;51,4164;5,1266;10,13;11,40;15,53;31;51,4905;5,3941;7,82;9,02;13,09;34;;;;;;
2024-01-30 00:00:00;2024-01-30 01:00:00;51,4062;5,4574;7,44;9,05;15,36;8;51,4379;5,3582;9,22;9,81;14,61;10045;2;51,5107;5,3606;6,83;8,36;14,21;11;51,4915;5,4391;5,41;6,73;12,24;14;51,4024;5,3514;7,65;9,18;14,45;9;51,4052;5,4582;8,38;9,90;15,48;15;51,4566;5,4381;6,09;7,18;11,31;16;51,4465;5,4482;6,86;8,49;14,23;19;51,4423;5,4843;6,64;8,08;13,50;19;;;;;;;51,4454;5,4853;10,86;12,54;17,98;36;51,4413;5,4714;8,80;10,79;18,51;9;51,4815;5,5199;7,00;8,46;13,76;11;51,4681;5,3901;8,98;9,62;14,64;11013;10;51,3467;5,3887;6,89;8,20;12,57;8;51,4136;5,4707;6,47;7,96;13,35;14;51,5696;5,3113;6,72;8,40;13,62;6;51,4332;5,5197;7,92;9,61;15,33;18;51,4372;5,4233;6,40;7,80;12,76;17;51,4584;5,4050;8,04;9,51;15,20;25;51,4444;5,4787;9,60;11,32;18,57;11;51,4545;5,3887;9,17;10,35;14,52;10938;16;;;9,20;11,00;17,38;28;51,4351;5,4798;6,63;8,16;13,46;15;51,4373;5,4513;10,05;11,32;16,30;14;51,4797;5,4751;7,46;8,65;13,04;12;51,5295;5,4718;8,83;10,28;15,37;7;51,4388;5,4819;6,72;8,44;13,62;17;51,4686;5,4722;6,04;7,70;13,00;8;51,4390;5,4649;7,22;8,69;13,96;12;51,4527;5,4852;7,47;8,94;13,64;19;51,4320;5,6272;6,94;8,22;12,82;11;51,5923;5,7812;6,77;8,62;14,90;2;51,5305;5,2846;8,64;9,66;13,89;6;51,3565;5,6359;7,67;9,14;13,73;6;51,5835;5,5479;6,32;7,61;13,57;9;51,5092;5,3781;8,38;9,85;15,00;17;51,4769;5,2617;8,36;9,96;15,63;8;;;;;;;51,4736;5,6531;9,82;11,44;16,56;14;51,3769;5,7723;8,35;9,76;13,25;10;51,4692;5,6348;9,59;11,10;15,69;13;51,4774;5,6567;7,51;9,05;14,43;17;51,3072;5,4218;6,89;8,34;13,09;11;51,4165;5,1266;8,49;9,90;15,00;20;51,4904;5,3941;5,55;6,77;11,41;18;;;;;;
2024-01-31 00:00:00;2024-01-31 01:00:00;51,4062;5,4574;8,69;11,33;20,41;7;51,4379;5,3582;11,59;12,62;19,90;9318;3;51,5107;5,3606;8,98;11,38;19,15;11;51,4915;5,4391;8,04;10,14;17,34;13;51,4025;5,3514;10,46;12,86;19,38;8;51,4052;5,4582;9,90;12,29;19,94;12;51,4567;5,4381;7,47;9,09;14,18;12;51,4465;5,4483;10,28;13,21;22,07;26;51,4423;5,4843;9,56;12,04;19,62;27;;;;;;;51,4454;5,4853;12,80;15,50;23,24;38;51,4413;5,4714;10,68;13,85;24,80;9;51,4815;5,5199;8,05;10,43;17,52;10;51,4681;5,3901;11,61;12,69;19,53;11882;10;51,3467;5,3887;10,02;12,30;18,55;9;51,4136;5,4707;9,55;11,93;19,14;10;51,5696;5,3113;8,56;10,89;17,69;6;51,4333;5,5198;9,92;12,56;20,77;26;51,4372;5,4233;9,19;11,54;18,85;15;51,4584;5,4050;10,52;13,14;22,04;28;51,4446;5,4787;12,44;15,39;26,30;9;51,4544;5,3888;11,64;13,59;19,65;10768;15;;;12,03;14,83;23,64;35;51,4351;5,4798;9,51;12,19;20,16;12;51,4375;5,4515;11,47;13,63;20,68;16;51,4797;5,4751;9,36;11,38;17,35;11;51,5295;5,4718;11,29;13,63;20,76;9;51,4388;5,4819;9,93;13,02;20,64;17;51,4685;5,4723;9,25;12,14;19,75;7;51,4390;5,4649;9,48;11,91;19,73;12;51,4528;5,4850;9,37;11,73;18,27;21;51,4320;5,6272;7,67;9,52;15,34;8;51,5923;5,7812;6,31;8,83;17,01;8;51,5305;5,2845;11,18;12,75;18,33;6;51,3565;5,6359;9,50;11,50;17,36;6;51,5835;5,5479;7,86;9,86;18,19;10;51,5092;5,3781;10,38;12,63;19,37;12;51,4769;5,2617;11,27;14,03;22,10;5;;;;;;;51,4736;5,6531;9,21;11,55;18,20;13;51,3769;5,7724;7,68;9,38;14,92;9;51,4692;5,6348;8,72;10,81;16,06;15;51,4778;5,6568;8,36;10,84;18,12;25;51,3072;5,4218;10,40;12,90;20,01;13;51,4164;5,1266;11,43;13,71;21,01;10;51,4904;5,3941;8,91;11,05;17,82;18;;;;;;
2024-02-01 00:00:00;2024-02-01 01:00:00;51,4062;5,4574;6,92;12,10;27,94;11;51,4379;5,3582;9,57;11,96;23,68;10368;4;51,5107;5,3606;7,99;13,43;27,28;24;51,4915;5,4391;6,18;10,60;21,57;31;51,4025;5,3514;7,93;12,74;26,10;14;51,4053;5,4582;8,07;12,67;25,02;43;51,4569;5,4384;5,62;8,97;16,48;28;51,4465;5,4481;9,51;14,96;27,25;37;51,4422;5,4844;9,88;15,46;28,58;29;;;;;;;51,4454;5,4854;9,30;15,51;30,07;0;51,4413;5,4714;8,24;14,59;33,15;17;51,4815;5,5199;7,09;12,90;27,67;22;51,4681;5,3901;9,40;11,73;23,32;13525;16;51,3467;5,3887;7,47;11,94;22,02;12;51,4136;5,4707;9,28;14,48;25,61;25;51,5696;5,3113;6,84;11,56;23,27;13;51,4332;5,5198;8,47;13,74;26,29;39;51,4372;5,4233;7,54;12,24;23,86;26;51,4584;5,4050;9,83;15,70;29,29;14;51,4447;5,4789;10,48;17,01;33,13;1;51,4544;5,3888;8,65;12,45;20,08;13129;24;;;12,03;19,60;35,22;49;51,4353;5,4799;9,58;15,44;27,99;38;51,4375;5,4515;9,65;13,86;23,59;26;51,4797;5,4751;7,03;10,85;20,14;25;51,5295;5,4718;10,54;15,92;28,94;7;51,4386;5,4814;10,72;17,19;29,24;39;51,4686;5,4722;8,67;14,74;26,71;15;51,4390;5,4649;8,12;13,15;25,08;25;51,4528;5,4851;8,33;13,26;23,90;34;51,4320;5,6271;8,37;12,84;22,98;18;51,5923;5,7812;7,65;13,66;28,07;12;51,5305;5,2845;10,80;14,03;21,09;15;51,3565;5,6358;7,47;12,00;21,44;10;51,5835;5,5479;8,15;13,06;28,89;12;51,5092;5,3781;9,50;14,36;25,51;28;51,4769;5,2617;9,44;15,10;29,14;10;;;;;;;51,4736;5,6531;7,46;12,11;23,06;19;51,3770;5,7723;6,56;11,12;23,41;3;51,4692;5,6346;8,34;12,76;21,98;22;51,4781;5,6568;7,83;13,21;25,48;24;51,3072;5,4218;7,09;11,45;21,96;22;51,4164;5,1266;7,26;11,57;22,84;26;51,4905;5,3941;7,78;12,13;21,66;30;51,4737;5,4427;8,64;13,87;25,77;39
2024-02-02 00:00:00;2024-02-02 01:00:00;51,4062;5,4574;10,09;15,16;31,77;7;51,4379;5,3582;12,94;15,21;26,58;11997;3;51,5107;5,3606;11,35;16,78;31,97;18;51,4915;5,4391;10,30;15,25;29,44;16;51,4025;5,3515;11,81;16,85;29,97;11;51,4053;5,4582;11,87;16,42;30,23;14;51,4568;5,4383;10,30;14,02;23,05;18;51,4465;5,4481;12,46;18,08;31,46;23;51,4422;5,4844;12,65;18,00;31,04;23;;;;;;;51,4454;5,4854;10,92;15,47;25,97;16;51,4413;5,4713;12,57;18,62;38,41;12;51,4815;5,5199;11,54;17,17;31,03;16;51,4681;5,3901;14,65;17,27;30,24;13566;11;51,3467;5,3887;9,92;14,02;23,78;11;51,4136;5,4707;11,26;16,22;27,79;14;51,5696;5,3113;10,59;15,27;27,54;13;51,4332;5,5197;11,76;16,70;29,80;39;51,4372;5,4233;11,78;16,81;31,30;15;51,4584;5,4050;11,84;16,63;28,32;7;51,4445;5,4788;12,05;16,65;29,17;20;51,4546;5,3887;13,69;18,04;27,66;14899;15;;;14,21;19,72;34,27;35;51,4354;5,4800;12,09;17,58;29,74;19;51,4375;5,4514;13,15;17,29;26,93;16;51,4797;5,4751;11,91;16,12;27,02;16;51,5295;5,4718;14,55;19,70;32,93;6;51,4386;5,4819;13,21;19,57;32,02;26;51,4686;5,4722;11,63;17,87;31,27;7;51,4390;5,4649;11,57;16,41;28,80;14;51,4527;5,4851;11,52;15,85;25,44;20;51,4320;5,6272;11,34;15,74;25,98;12;51,5923;5,7812;11,93;18,11;36,91;12;51,5305;5,2845;14,73;18,76;28,18;12;51,3565;5,6359;10,52;14,92;24,27;8;51,5835;5,5479;11,62;16,62;33,12;12;51,5092;5,3781;13,68;18,83;30,50;15;51,4769;5,2617;13,54;19,19;34,98;6;;;;;;;51,4736;5,6530;14,24;19,25;32,57;14;51,3770;5,7723;9,14;13,27;23,89;1;51,4692;5,6347;12,55;17,09;26,80;14;51,4775;5,6568;11,68;16,62;28,36;18;51,3072;5,4218;9,63;14,01;26,13;14;51,4165;5,1265;12,79;17,71;32,12;26;51,4903;5,3941;11,75;16,81;28,47;17;51,4738;5,4428;11,69;16,87;29,46;23
