"Neighbourhood";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Achtse Barrier-Gunterslaer";32,1;32,3;32,9;33,3;34,2;34,5;35,7;36,9;39,2;41,5
"Achtse Barrier-Hoeven";29,7;30,5;31,2;32,1;32,2;33,4;34,4;35,6;37,6;40,2
"Achtse Barrier-Spaaihoef";33,5;34,4;35,1;36,0;37,2;37,2;38,6;39,5;41,3;44,0
"Barrier";25,3;26,7;27,6;28,1;29,3;30,2;31,6;32,8;34,1;"."
"BeA2";".";".";".";".";".";".";".";".";".";"."
"Beemden";".";".";".";".";".";".";".";".";".";"."
"Bennekel-Oost";22,7;23,9;24,9;25,0;26,2;27,2;27,8;29,4;30,6;32,8
"Bennekel-West, Gagelbosch";22,4;22,8;23,5;23,8;25,0;26,2;27,6;28,7;30,9;33,3
"Bergen";34,7;38,0;38,8;40,5;41,5;40,6;42,0;43,8;44,6;"."
"Binnenstad";31,1;38,4;39,1;".";35,2;37,3;38,5;40,9;41,6;44,2
"Blaarthem";24,2;24,8;24,7;26,3;27,0;28,1;28,8;29,8;31,8;"."
"Blixembosch-Oost";38,4;39,2;40,3;41,0;42,3;42,9;44,1;46,3;48,6;51,6
"Blixembosch-West";42,6;42,4;44,7;44,7;44,6;45,1;45,4;47,2;49,1;"."
"Bloemenplein";24,8;26,4;27,3;29,9;30,1;29,6;32,1;32,3;34,5;"."
"Bokt";".";32,9;32,2;37,9;".";".";".";".";".";"."
"Bosrijk";46,5;49,9;50,2;51,4;51,2;58,7;59,7;63,2;67,0;"."
"Burghplan";24,8;25,9;25,9;26,5;27,7;29,3;30,0;30,7;32,3;"."
"Castiliëlaan";".";".";".";".";".";".";".";".";".";"."
"Doornakkers-Oost";21,1;21,6;21,8;22,8;23,2;24,4;25,0;25,5;27,5;"."
"Doornakkers-West";23,4;24,0;24,3;25,2;26,5;27,2;28,5;29,9;31,7;34,6
"Drents Dorp";22,6;23,9;24,7;25,0;25,9;26,9;27,7;28,8;30,3;"."
"Driehoeksbos";41,8;42,4;43,9;45,2;46,4;48,7;49,8;52,6;53,3;"."
"Eckart";22,4;22,7;23,1;23,2;24,0;25,3;26,3;26,9;28,7;30,8
"Eckartdal";".";".";".";".";".";".";".";".";".";"."
"Eikenburg";45,2;47,7;48,6;49,7;48,8;50,6;51,9;56,6;52,6;"."
"Eindhoven Airport";".";".";".";".";".";".";".";".";".";"."
"Eliasterrein, Vonderkwartier";32,0;34,1;35,1;36,1;37,4;38,4;40,1;41,8;43,6;46,8
"Elzent-Noord";51,0;57,3;57,7;56,7;51,5;54,5;54,3;57,7;56,5;"."
"Elzent-Zuid";77,7;76,8;73,8;86,4;67,0;67,7;65,6;72,6;70,0;"."
"Engelsbergen";33,8;35,6;36,6;40,4;41,3;40,3;42,5;44,5;47,5;"."
"Esp";".";".";".";".";".";".";".";".";".";"."
"Fellenoord";".";".";".";29,6;31,0;33,1;33,7;35,9;33,4;"."
"Flight Forum";".";".";".";".";".";".";".";".";".";"."
"Genderbeemd";31,9;32,5;32,5;33,0;34,0;34,5;35,7;37,3;39,6;42,7
"Genderdal";21,5;22,9;23,2;23,6;24,6;25,5;26,6;27,5;29,3;"."
"Generalenbuurt";25,5;26,5;26,6;27,1;27,9;28,7;30,1;31,2;32,5;35,7
"Gennep";".";".";".";".";".";".";".";".";".";"."
"Genneperzijde";43,2;44,2;43,9;44,2;42,3;42,0;43,0;45,2;45,4;"."
"Gerardusplein";31,5;33,3;34,5;36,0;36,3;37,0;38,2;40,0;41,5;43,9
"Gijzenrooi";42,3;44,0;44,4;43,7;44,5;45,4;47,7;51,6;53,2;"."
"Gildebuurt";24,8;25,9;27,0;28,3;28,4;29,5;30,3;31,5;32,8;"."
"Grasrijk";38,8;40,0;40,8;42,0;43,3;45,6;46,6;50,0;52,1;55,1
"Hagenkamp";24,6;25,8;25,5;26,8;26,6;28,1;29,1;29,6;31,1;"."
"Hanevoet";27,6;28,3;28,7;29,3;29,9;31,0;31,4;32,4;33,8;36,5
"Heesterakker";33,3;33,3;34,7;35,2;35,8;36,5;37,7;39,2;40,8;"."
"Hemelrijken";21,2;21,9;22,0;22,2;23,1;24,0;25,4;26,6;28,8;31,1
"Herdgang";".";".";".";".";".";".";".";".";".";"."
"Het Ven";24,5;25,6;25,6;26,1;27,4;28,3;29,5;31,6;33,5;36,4
"Hondsheuvels";19,5;21,7;23,8;23,3;23,5;26,5;26,7;25,2;26,0;"."
"Hurk";".";".";".";".";".";".";".";".";".";"."
"Irisbuurt";32,0;34,9;35,5;36,4;37,9;38,7;39,0;42,0;46,7;"."
"Jagershoef";21,6;22,0;22,6;23,0;23,7;24,8;25,6;26,4;28,3;30,2
"Joriskwartier";26,8;27,8;28,7;29,4;31,0;33,4;35,2;37,3;38,9;"."
"Kapelbeemd";".";".";".";".";".";".";".";".";".";"."
"Karpen";84,1;119,1;".";167,5;88,1;102,6;90,7;91,9;88,6;"."
"Kerkdorp Acht";39,4;40,8;41,5;42,8;42,3;43,2;43,0;45,5;47,4;50,2
"Kerstroosplein";21,9;23,1;23,7;24,4;25,5;26,8;28,4;29,4;31,1;"."
"Koudenhoven";56,9;57,6;65,3;68,1;66,3;71,5;80,9;66,0;65,7;"."
"Kronehoef";26,2;26,6;27,0;27,5;28,1;29,0;29,7;31,7;34,1;37,7
