Sensor,Time_UTC,Time_Local,Lat,Lon,PM1,PM2.5,PM10,NO2
I02,2021-01-01 00:00:00,2021-01-01 01:00:00,"51,4379","5,3582","27,78","33,11","37,81",24
I02,2021-01-02 00:00:00,2021-01-02 01:00:00,"51,4379","5,3582","31,84","45,09","51,59",19
I02,2021-01-03 00:00:00,2021-01-03 01:00:00,"51,4379","5,3582","23,72","34,22","38,46",13
I02,2021-01-04 00:00:00,2021-01-04 01:00:00,"51,4379","5,3582","5,35","5,97","7,94",9
I02,2021-01-05 00:00:00,2021-01-05 01:00:00,"51,4379","5,3581","21,11","23,40","24,02",10
I02,2021-01-06 00:00:00,2021-01-06 01:00:00,"51,4379","5,3582","17,20","19,00","22,28",19
I02,2021-01-07 00:00:00,2021-01-07 01:00:00,"51,4379","5,3582","5,82","6,87","10,19",16
I02,2021-01-08 00:00:00,2021-01-08 01:00:00,"51,4379","5,3582","3,68","4,16","6,64",11
I02,2021-01-09 00:00:00,2021-01-09 01:00:00,"51,4379","5,3582","20,46","22,61","25,42",19
I02,2021-01-10 00:00:00,2021-01-10 01:00:00,"51,4379","5,3581","30,88","35,01","39,48",37
I02,2021-01-11 00:00:00,2021-01-11 01:00:00,"51,4379","5,3582","24,48","28,19","31,85",23
I02,2021-01-12 00:00:00,2021-01-12 01:00:00,"51,4379","5,3582","3,23","5,22","10,35",17
I02,2021-01-13 00:00:00,2021-01-13 01:00:00,"51,4379","5,3582","9,52","13,57","22,70",34
I02,2021-01-14 00:00:00,2021-01-14 01:00:00,"51,4379","5,3581","7,43","9,94","15,40",27
I02,2021-01-15 00:00:00,2021-01-15 01:00:00,"51,4379","5,3582","20,88","23,20","27,13",25
I02,2021-01-16 00:00:00,2021-01-16 01:00:00,"51,4379","5,3582","27,06","29,60","31,53",28
I02,2021-01-17 00:00:00,2021-01-17 01:00:00,"51,4379","5,3581","16,77","22,21","29,52",17
I02,2021-01-18 00:00:00,2021-01-18 01:00:00,"51,4379","5,3581","12,69","17,39","26,34",18
I02,2021-01-19 00:00:00,2021-01-19 01:00:00,"51,4379","5,3582","5,24","7,00","11,35",6
I02,2021-01-20 00:00:00,2021-01-20 01:00:00,"51,4379","5,3581","4,19","5,33","8,85",7
I02,2021-01-21 00:00:00,2021-01-21 01:00:00,"51,4379","5,3582","2,62","4,49","9,51",14
I02,2021-01-22 00:00:00,2021-01-22 01:00:00,"51,4379","5,3582","7,66","9,98","15,50",34
I02,2021-01-23 00:00:00,2021-01-23 01:00:00,"51,4379","5,3581","11,28","13,39","17,70",28
I02,2021-01-24 00:00:00,2021-01-24 01:00:00,"51,4379","5,3581","11,50","13,31","17,41",23
I02,2021-01-25 00:00:00,2021-01-25 01:00:00,"51,4379","5,3582","17,86","20,20","25,14",27
I02,2021-01-26 00:00:00,2021-01-26 01:00:00,"51,4379","5,3582","7,83","11,33","19,19",18
I02,2021-01-27 00:00:00,2021-01-27 01:00:00,"51,4379","5,3581","16,16","21,02","25,24",22
I02,2021-01-28 00:00:00,2021-01-28 01:00:00,"51,4379","5,3582","10,89","14,09","17,41",15
I02,2021-01-29 00:00:00,2021-01-29 01:00:00,"51,4379","5,3581","7,68","12,49","21,01",15
I02,2021-01-30 00:00:00,2021-01-30 01:00:00,"51,4379","5,3582","11,89","12,94","15,38",18
I02,2021-01-31 00:00:00,2021-01-31 01:00:00,"51,4379","5,3582","21,91","23,55","24,75",26
I02,2021-02-01 00:00:00,2021-02-01 01:00:00,"51,4379","5,3581","30,97","36,47","40,64",33
I02,2021-02-02 00:00:00,2021-02-02 01:00:00,"51,4379","5,3582","19,94","24,73","29,77",15
I02,2021-02-03 00:00:00,2021-02-03 01:00:00,"51,4379","5,3581","8,60","12,18","18,05",15
I02,2021-02-04 00:00:00,2021-02-04 01:00:00,"51,4379","5,3582","9,34","14,35","26,75",23
I02,2021-02-05 00:00:00,2021-02-05 01:00:00,"51,4379","5,3582","11,01","14,21","21,49",30
I02,2021-02-06 00:00:00,2021-02-06 01:00:00,"51,4379","5,3582","28,53","34,56","37,62",23
