Sensor,Lat,Lon,Neighbourhood
I02,51.4379,5.3582,Wijk Meerhoven
I03,51.5108,5.3606,
I04,51.4915,5.4392,Wijk Achtse Molen
I07,51.4568,5.4383,Wijk Halve Maan
I08,51.4465,5.4482,Wijk Halve Maan
I09,51.4422,5.4844,Wijk Centrum
I11,51.4454,5.4854,Wijk Centrum
I12,51.4416,5.4714,Wijk Centrum
I14,51.4681,5.3902,Wijk Meerhoven
I17,51.4136,5.4707,Wijk Oud-Gestel
I19,51.4332,5.5197,Wijk Putten
I22,51.4372,5.4233,Wijk Meerhoven
I23,51.4584,5.405,Wijk Meerhoven
I24,51.4447,5.4788,Wijk Centrum
I25,51.4546,5.3888,Wijk Meerhoven
I28,51.4491,5.4569,Wijk Oud-Strijp
I29,51.4439,5.4754,Wijk Centrum
I30,51.4374,5.4515,Wijk Oud-Strijp
I32,51.4797,5.4751,Wijk Aanschot
I36,51.4388,5.4821,Wijk Centrum
I37,51.4685,5.4721,Wijk Ontginning
I39,51.439,5.465,Wijk Oud-Strijp
I40,51.4528,5.4851,Wijk Centrum
I05,51.4025,5.3514,
I10,51.3706,5.1565,
I16,51.3468,5.3887,
I33,51.5296,5.4718,
I41,51.432,5.6273,
I43,51.5305,5.2846,
I13,51.4815,5.5199,
I18,51.5696,5.3113,
I42,51.5923,5.7813,
I44,51.3565,5.6359,
I45,51.5835,5.548,
I49,51.4735,5.6531,
I51,51.4693,5.6348,
I52,51.4774,5.6569,
I46,51.5092,5.3781,
I47,51.4769,5.2615,
I48,51.466,5.6785,
I56,51.4165,5.1265,
I58,51.4904,5.3941,
I55,51.3072,5.4218,
I50,51.377,5.7724,
I01,51.4063,5.4574,Wijk Oud-Gestel
I06,51.4052,5.4582,
I59,51.4737,5.4427,Wijk Ontginning
I60,51.3513,5.7533,
I61,51.4632,5.8264,
I62,51.3581,5.3179,
I63,51.3591,5.332,
I64,51.3738,5.3541,
