Neighbourhood,LAT,LON,PM1_mean,PM2.5_mean,PM10_mean,NO2_mean
Achtse Barrier-Spaaihoef,51.49148635097494,5.439191643454039,9.13603385574649,11.520968143126781,17.415387588969388,22.413960763329623
Binnenstad,51.44287097355522,5.481007400500122,11.397772953581192,14.019923144210521,20.047161115494042,20.798052153138748
"Eliasterrein, Vonderkwartier",51.446412351102055,5.4553796587726,11.275324621269151,13.795555646247108,19.380194085499646,23.74568321584735
Genderdal,51.410358358092736,5.46479972027549,9.799388636865629,12.39349843519468,18.871553937644794,17.37242585793136
Het Ven,51.451632166814704,5.443302107600558,10.308315525932297,12.538102050072858,17.91248753805847,21.658259391029944
Jagershoef,51.47007725223186,5.46385866758416,11.333216038490162,14.211578289110538,20.387508900608427,19.820015258782487
Leenderheide,51.433197714285726,5.519741142857143,9.628041874548574,12.088515058355716,18.78640890964089,22.612447167650544
Tempel,51.479703287671235,5.475099178082192,10.595103994258613,13.104238675111054,18.690490847002998,19.85359770682152
Zandrijk,51.45124149649664,5.393054814001042,10.431847736402844,12.93133658461218,18.995744755027836,23.869585547782368
Riel,51.41670116797133, 5.521552001267527,10.006401507132676,12.514498333557121,18.99900205218708,20.855282387167772
Vaartbroek,51.478597626687694, 5.4986383772478105,10.67589922331381,13.21614544627192,19.018405822593227,20.553399853445534
Genderbeemd,51.422574102702605, 5.438448115885852,10.192404185894759,12.724851493778392,18.88928629311897,21.84965363342388
Oude Toren,51.45524744758665, 5.481382906581819,10.944049627850003,13.536910636461187,19.301746666490278,21.11571491144781
Barrier,51.46077134206934, 5.459137196418091,10.91967240785376,13.505681285445178,19.30925908170529,21.406308969969665
"Muschberg, Geestenberg",51.44440481234024, 5.521265473481282,10.522659236757942,12.984189911002016,19.197442276923493,21.84328663600499
Kronehoef,51.45545212275582, 5.4683267185110935,10.9325861330591,13.530784509717865,19.234220558934613,21.139094810246483
Luytelaer,51.470460227595005, 5.503203026173081,10.77080627171336,13.326550531543834,19.215854779730872,20.72473968575813
Gijzenrooi,51.418575330704186, 5.513834606273595,10.011573078758945,12.52048252303802,19.00489295309816,20.836032817078838
Vlokhoven,51.47187039813515, 5.483397339983253,10.847602255462009,13.497059762968206,19.267066097437336,20.277874531458224
Irisbuurt,51.43436019809176, 5.4946284774635945,10.469272554816236,13.054358827197914,19.315488734365935,21.36282950012785
Zwaanstraat,51.45150201232835, 5.449120556209434,10.566783953086013,12.912491647267748,18.391053153678982,22.155861963652697
Oude Gracht-West,51.461861936263325, 5.4900436940802395,10.906501775234883,13.52932241708158,19.34633921581944,20.68112013358972
Burghplan,51.42778712352015, 5.506932499352118,10.021397127018261,12.522345826210227,19.018069907304994,21.97312212192595
Tongelresche Akkers,51.43533902335683, 5.5252226058755065,9.890141840569937,12.364831263841747,18.937229378073518,22.248406943379045
Drents Dorp,51.44700069114258, 5.443743030611926,10.707005865146492,13.078579311908339,18.708455934298694,22.61439779281033
Blaarthem,51.42435886349648, 5.457445971309711,10.252672906119653,12.86747922259293,19.1706453138628,21.492442678636174
Bosrijk,51.44439178604408, 5.416447511576149,10.585228331789217,12.9979977334279,18.88342617875214,22.851927874356974
Genneperzijde,51.42090701733734, 5.481638220379527,10.238757481033307,12.864908952574854,19.171781590201924,19.766352888889088
Strijp S,51.446633587850286, 5.457720010664559,11.208722840284295,13.74559684196947,19.44387401067994,23.29670102718094
BeA2,51.47225767052634, 5.398982737468006,10.362515908719464,12.779023028121141,18.68312173833926,22.124673559804695
Wielewaal,51.45550894478796, 5.427001155227117,10.457290722865366,12.80828772118285,18.424246552812356,22.161337221426542
Hurk,51.43113844856481, 5.437423675659915,10.404985772653603,12.892081938719821,18.893542097750327,22.36724748143046
't Hofke,51.450033590090115, 5.520216759529927,10.543747170132486,13.050701373212187,19.17498049257911,21.68556189931323
Kerkdorp Acht,51.47690702331928, 5.4314064067410275,10.28138900591774,12.695438839280772,18.439618229734208,21.60575756502068
Looiakkers,51.42656118705498, 5.483548530422975,10.344099515552777,12.956440426314266,19.245699552103698,20.969765103499967
Fellenoord,51.444188225634434, 5.477124056663715,11.239566217292456,13.829422998331788,19.73565438156878,21.034391907966082
Schouwbroek,51.438980605319664, 5.454276361053605,10.882891636357897,13.442641791942709,19.351682861119816,22.66230576720523
Kerstroosplein,51.41871318275768, 5.4940298820518825,10.196379597936229,12.789472944844004,19.142524155337345,20.063192543512656
Joriskwartier,51.42724658086041, 5.490379824517585,10.382523017421178,13.000652258768472,19.25961259146071,21.19901495758551
Elzent-Zuid,51.42691043682247, 5.4784576727467895,10.429316764627108,13.04940472236251,19.27024501590474,21.095296392599543
Grasrijk,51.43673514905037, 5.418007770957194,10.329326570237258,12.807749727024348,18.846721439423174,22.721852654729503
Meerbos,51.45056114369441, 5.4168505397948685,10.44461001601011,12.873095762106004,18.74906093671631,22.827436592020412
Prinsejagt,51.46830191643308, 5.458430007720667,11.117450213969608,13.829056981681209,19.730472131650068,20.64809052742923
Karpen,51.45300224128063, 5.503009777600558,10.735292713364453,13.26113090175221,19.17811093493679,21.35410170240521
Sintenbuurt,51.424179581972915, 5.501237309474529,10.065308189953019,12.56845871296338,19.04421241395859,21.533056326109833
Woenselse Watermolen,51.45006562733259, 5.480105708975194,11.03142905064307,13.625494343199758,19.534181055262202,21.28832096611396
Generalenbuurt,51.46274862357143, 5.481134030386343,10.94087633915786,13.580072706668606,19.3947148555797,20.614242940085084
Eikenburg,51.41025548410981, 5.486199146668725,10.127123280568979,12.757036931077586,19.11283378609923,19.37865468922255
Driehoeksbos,51.473387892665905, 5.45120151643593,10.864585015426705,13.477684424518044,19.267755332436295,21.066244235119168
Achtse Barrier-Hoeven,51.49045018427772, 5.445992380298528,9.568388905478532,12.00538358627351,17.80810991473799,21.935152760829315
Hanevoet,51.41535050098738, 5.441147251096818,10.107076881059522,12.664115931342135,18.879830114842363,20.560306886722913
Doornakkers-West,51.439755675611956, 5.508806094098909,10.359726898083743,12.847158325409307,19.194365254561276,21.73349389766244
Eckart,51.47193894564272, 5.49330575089309,10.81163747787588,13.43771609339596,19.23364308216194,20.428250020320604
"Bennekel-West, Gagelbosch",51.41775149127531, 5.452503101269037,10.121451461471512,12.740613105049576,19.022720178692396,20.16418551284545
Waterrijk,51.437406795208965, 5.398133494698103,10.288046309308903,12.776798275089536,18.911848040898718,23.130783678580617
Bennekel-Oost,51.41982795492483, 5.46344761493821,10.117877810112626,12.762678309521558,19.159393720961724,19.199835024067966
Villapark,51.441079774670236, 5.492950151394901,11.06280438206468,13.645482640486795,19.62726159670619,21.172658451171333
Rapenland,51.46247778205558, 5.472656457231123,10.955657850284545,13.60647731184633,19.414094724303204,20.49370371808176
Heesterakker,51.48407803608097, 5.498090845923246,10.552147892876603,13.124929280937815,18.944447206128118,20.56135871721093
Doornakkers-Oost,51.43825699480242, 5.516934854197841,10.181621955071154,12.65374620077415,19.09813829391237,21.947829372113222
